Guild,Kills,Deaths,Fame
PSYKOPATH,125,128,8745900
C K S,164,157,65855071
Kids On The Move,110,169,14644263
Hooman,58,157,13220530
Pristine,250,97,60508755
M O G A,171,127,33094142
Crazybabys,93,226,14612399
The Jellyjot,160,106,83012024
JSCL,106,160,14004761
THEMERCENARY,35,173,5953811
Battleborn,142,87,25242637
Red Circle,99,164,8795061
Shu Shan,93,139,14829132
TEAM_MEMOL,131,157,12927756
7SinsX,87,97,10355156
Kendan,175,90,10147318
Lazy Bear,128,113,15620969
Wing of Liberty,184,176,23979347
SpartanS 300,56,129,4521653
IndianGanG,250,77,131939081
ALAS KWATRO,39,183,4375416
Tengkorak,81,125,7430030
Mathias,104,226,6643403
Auroras,95,144,6922279
DOJO,103,53,28828481
The Boyz,142,130,15789549
Protagonists,107,98,45115918
ALL VICTORY,120,115,25152677
S D G,98,218,9656542
The Undead Angels,70,155,4591770
ArWang,121,90,37829503
WaI WaI,141,87,61875769
VIET NAM ssm,37,125,3506575
LEVELING,185,97,17529780
Flash,104,104,34130478
Snow Moon,66,87,24885812
GaoLaoZhuang,161,140,20040988
POOPII,90,81,22930135
KajiRingo,260,79,19625346
OPFarmer,43,91,4189664
Meowfia,104,99,43644290
Sapling-MIU00,132,105,15766153
Wavei,145,137,36051217
six doors,129,109,47878605
Shadowborn Syndicate,40,110,4979384
Driffter,89,124,7085672
Ocean Waves,85,77,6635569
Ban,248,81,17301192
Raining,76,120,17962643
KAKI TIGA,19,78,3621948
Clap Me Daddy,154,67,18704621
Noctera,88,110,20394707
STRAYFANGS,42,113,3383869
The Ritual,117,97,55729936
Believers,51,95,4659550
Lumi,27,93,3115289
Magnate,69,149,18411772
KNIGHT_OF_BLOOD,300,22,35221834
The Northern Lands,59,116,17670560
Backup Station,153,77,68581505
Kleinschalige Genieter,43,78,28310832
cat and rat,57,116,24324781
ISKRA,70,109,4129379
VELARIS,60,43,10077160
DEMONIC EMPIRE,64,83,36162769
Speed Run,78,85,17791003
F I G U R E,55,101,11775926
The Northern Constellations,95,89,8130857
Reich,38,99,4306268
B o S,53,105,12577354
GGerDrug,129,81,25399920
Jagdgeschwader 52,73,75,13246607
Government Program,77,128,5618142
UNITED THETFORD,36,82,4595109
Lightborn Syndicate,42,61,5794234
OneDone,86,38,24299099
octugram,67,131,4095082
Frostborn Exiles,23,87,11892162
Buzztard,59,121,4327799
First love,79,109,14947084
THE-PURGE,39,97,4896440
The Rice of Asian,10,90,1751635
Endless Combat,24,99,24236258
ON MA HEAD,55,80,26522029
CTRL ALT DEL,73,108,3866528
Matcha Ore,119,82,8416318
GTO Nazarick,20,105,2354344
Echo of One,57,43,4987822
Evangelion,55,79,11693099
Blackfang Covenant,23,31,5918749
SyntaxErr,54,50,5978586
QUILL,57,63,9235295
The Rumble,45,83,9584147
Endernations,29,90,8900518
Family Type,27,110,5852417
Reaction,27,18,7627521
Three Two One,69,92,11190159
ULTIMATE REALM,29,57,3694929
mechanical,29,72,4706123
Medieval Royal Guards,34,84,2640421
HollowCrown,32,76,2201042
Suger Babies,31,80,3612615
CATHEDRAL OF RAT,84,69,23691561
DEATH PARADE,24,77,3911455
A X E,55,91,7662711
S Z P,34,102,4238840
Easy come Easy go,48,61,21403724
Blue coral,36,36,6055464
CNTC,22,69,1605712
Wicked Croc,27,49,2357360
Typhon,51,91,3098028
Avenger Regroup,35,76,8769940
VN1945,42,56,12283375
Princesse Maker,68,39,21092478
Albions Ark,40,117,3284255
The Elders Pact,24,60,2070680
The Savior,57,105,6539484
BULAN BINTANG,66,79,16861468
The Scarlet Dawn,36,57,2351571
Creation Camp,54,37,3877053
B L O O D L U S T,62,84,4482971
Lymhurst Ranger,18,62,1779012
BounTy_TH,16,49,2487747
Taylor Swift,166,14,7968097
FLOW,71,28,3886802
itinerary,60,55,4081808
PoopooDancers,53,42,20465043
One Shot,38,51,5972556
Dang Xiao,51,73,27413712
bosaBOSS,14,85,3457141
Prodigyy,43,54,23696556
Astartes,72,74,4940750
G U I L D,9,45,1554570
MIKE TEA,60,49,20034784
AinzOoalGown,110,27,4837000
Alone in The Mist,20,76,1887582
Chien Than,49,56,10157641
red king,47,37,25749593
God_Of_War,53,98,7757932
Avalnom,54,50,21988907
EQMS,43,49,10534359
LYM PORTAL,45,89,2958533
Lai tsai Project,42,109,4177942
TheGreyKnight,29,36,3854817
Horcrux,24,27,4533381
FAKE INFO,58,58,26170482
Snowflakes,42,66,10742227
XHCN,27,32,4571444
Packet Loss,59,56,3844183
Gungn1r,24,85,4668826
Dwargon,78,13,4915702
Hog_Rider,57,23,6586959
G A U T A M A,54,102,2834017
Guerilla Warriors,13,72,1849209
Mahatma Suvarna,13,29,2526230
HIRAYAH,40,63,3224052
HEGEMONY,5,42,3157792
Nomadz,8,56,1130329
Kunlun Jade QingJing,39,50,5411944
ChipsO Federation,61,53,4454540
10 My friend are coming Run,22,83,946692
GATHERER-INDO,29,30,1897449
Absolute Dragon,32,51,3037279
Whyme 2,62,73,7939070
Tree_Of_ Faith,18,34,1955553
asile,10,40,1422270
Chlamydia,13,42,996805
kings mansa musaa,61,69,3842298
The Academy,13,62,1595138
Crusaders of the North,12,44,1140293
Galthering,108,78,7959070
Mam-moth,17,36,1549433
Tamilaga Vettri Kazhagam,33,64,4396009
Chien Than Academia,60,53,26562734
Final Stand,14,73,5658690
Dark Soul,16,68,1389919
The Salty Chefs,118,55,11265049
cai bi,23,57,7677629
Save Me,46,39,3005968
P O L A R I S,106,30,8466089
First Company,67,81,4551082
The_APEX,29,43,8858564
nanjingdapaidang,28,41,2462787
tamago X gohan,21,39,2140881
Gather Anti Gather,43,50,20059783
NewNew Young,31,73,3550357
Husky Empire,45,64,10086201
The Question,27,28,8940742
Mochi Kingdom,15,47,2048799
Outlaw404,68,26,25904832
Ordo Musaceae,48,27,2896502
Lym World,19,60,4002180
G U N N E R,54,46,13260318
C A E S A R,78,20,7778524
Auraka,23,78,2084663
Future Party,37,19,17029366
Bridgewatch Academy,39,17,8073977
I Slytherin I,51,38,10969018
WowMayKay,28,55,3820466
Wild Ape,78,45,23159487
I M P E R I A L,33,31,11550229
Harmonia Eternity,8,34,958151
VN-KANGAROO,41,29,25065481
Mount Never-Old,28,54,1424355
UNITED REPUBLIC MERCHANTS,11,37,876491
Are U Oke,30,30,3084528
ROYAL,104,20,9267563
CAOTAIBANZI,13,47,2864646
TEMPLARS_ORDER,39,35,3779566
The REVENGERS,9,53,1130138
DNS,24,30,1338239
BARDS ALE,57,15,5396390
TiGiGi,6,18,1103611
Ghost Face,27,55,3483847
Tcho-Tcho,14,53,2951723
Cao Lao Trang,20,40,6464513
The Wardens,25,40,2498860
Shark Chew Toast,29,24,3285066
takkasin club,11,45,974405
Court of Nightmares,13,25,1271433
Call to Heaven,19,44,2050019
KINGSLAND,3,26,954406
Netorare,42,12,3286408
FxxK,48,48,7160632
pig bank,22,46,1849629
WINDPhoenix,11,49,3883862
R E A D Y TO D I E,53,19,4513156
REDEMPTION CODE,10,54,1221525
NeGalius,4,27,1530887
GARUDA,21,55,2032534
1V1,27,27,2897790
Second Fear,25,26,9571512
Sea Lion Victims,26,7,3211108
Bonjour,20,33,13528425
New_World_Order,16,54,1399065
anomali SILUMAN,17,29,1399919
KAI RUY,24,28,2106727
I FORSAKEN I,36,35,4944212
666GG,26,9,22854114
B-E-L-A-T-squad,48,14,5651143
CrossBlade,8,33,1012114
Fight Or Run,17,32,2349099
AK-74,21,42,7019892
BORN AGAINN,31,8,2505139
Redips Society,13,12,2880183
Cheer,47,22,11978738
HuZhuHui,56,37,18084503
ONG BUT,27,41,4690033
Gathering FARM,12,25,1001331
GOBLIN CAMP ID,6,35,535501
Hudyat,6,19,1733865
MDL,38,32,5216618
HUSKIES,10,6,3300970
hua,14,12,1370718
Battle Maniac,37,53,3544134
AVA,15,44,1685725
8Sp1Ders,31,28,21509106
SlowLife,11,23,1486723
Snow Angels,33,56,2492904
Wayfinder Knights,6,48,1378950
ROYAL CROWN,4,18,2275875
Anggota-DPR,13,30,1342759
O U T L A W,7,29,1095996
K R U N G S R I,19,45,1549494
Gondor,20,35,1989202
AZKALZ,5,40,742222
KPA,18,15,1752850
VietNam TheFord,17,29,1441770
The Castle Knights,25,25,2092105
Sylvan Gaia,5,30,775332
THE WEEKEND DAY,24,23,3012337
SINGAMAS XI,4,33,727383
Solsticee,19,63,854122
LEGION SOUL,22,18,2997197
Strange Journey,8,10,1482487
Sunset,9,24,13683909
M A R S,13,22,967418
SOLAR BENEDICTION,5,38,473283
FlavaClouds,3,22,14140879
mao-ni-ma-de2B,34,37,13240058
PETANI BERSENJATA,20,39,1216934
Hong Xing,39,33,4209292
Fightin fool,19,19,4094782
NEVERLUS,6,43,984366
GARUDA LEGION,12,42,984996
Luminous PH,31,15,1801533
Shine On Me,8,12,913857
Global Unity,4,29,687885
NIMBUS,21,23,3250925
Verdant Ring,28,31,4685009
BISAYA LIFE,14,29,1136334
Money Belief,7,24,6675034
gou8,18,32,7346177
MoneyMoneyComeOn,6,32,902033
Sanity Eclipse,12,29,11332077
BATAVIA,5,19,1236997
Pussi Gang 69,10,34,574237
Web of Shadows,27,17,1641585
VARTICAN,25,46,1962966
KAIBUSHI,3,28,478471
Demon Fang,13,36,1594710
Parmata,7,28,830739
JiangHu,23,34,4844015
Lube Core,23,16,2438338
TwinHead Thunder Dragon,9,22,1166353
66_66,33,6,2442149
LunSol,42,22,2202597
SHENJI,14,23,2012300
N Y X,24,45,4637621
E X l L E,19,38,14873707
OPC GGININDER,11,16,3265369
The DailyLife PH,9,27,1249223
POLRES LYMHURST,8,22,580160
TakusaVegas,20,22,2332323
SBNFC,9,14,1177884
W BLOOD,8,18,884329
First meow meow,7,27,5221723
Army of Ape,25,37,1861064
3RATs,24,10,1473839
NB FOREVER,3,48,489251
N E O - H E R O,13,43,1910641
Welangbumi Gronggongan,2,25,822518
OneFame,27,21,4192997
decider,3,24,17067998
An Guild,52,42,8309947
POLSEK ALBION TIMUR,10,12,699716
xNEMESISx,4,36,1209853
Arena Ghost,4,29,512842
Faksi Kegelapan,3,40,378271
FORTUNAtE,4,29,299306
INTERGALACTIC BAGANG,14,34,1676801
disconection,2,3,1059970
Calbee,42,18,3079077
SANDBOUND,5,31,469452
GRIEVING-SOUL,7,18,1556592
CCAV,14,14,1838555
NO-RE,14,22,7082091
Goal Killers,9,35,602768
DeSaiko,12,17,1446879
PRX,26,18,2408284
CVLT,14,6,3282401
reDot,37,12,1548085
WhiteDragons,3,26,783727
Swim Dragon,25,26,2482755
China,11,31,3109159
Warhammer Dark Tide,21,23,1789279
BEHEAD,31,13,15602157
Titan Blaze,2,30,770407
RISER,13,24,705716
Never Regret,4,24,389055
High IP Low IQ,9,24,1071406
The 1st Order,3,26,325972
D_MINGSSS,8,12,1613072
FOREST REGIMENT,5,9,1488920
slaves leader,25,19,4684878
Rising Winds,6,11,1331387
THE-IMMORTALS,12,27,544588
Free Country,7,13,1137035
Avalons Gangsta,21,16,3554336
Chicken Catching Party,25,19,1706236
KumaKuma,10,22,1890983
Stars Legends,5,32,1043022
VOYAGER CORPS,9,18,1041880
Fsszsb,16,25,2650243
HOUNDS,10,11,648838
PDl PERJUANGAN,3,10,452430
CL OV ER,8,6,1480449
Filibusteros,4,17,1278072
Angry Burmese,5,24,6599431
Solvania,20,13,1305361
Idochine,7,36,702288
Use Cleanse,9,17,911517
THE TROUBLE MAKER,6,13,607455
Life or Death,20,20,3190477
Rat Evasion,17,13,7561777
GG969,33,22,2253136
Valmera,5,18,404323
SNAKES OF SKY,4,15,341595
Binary,11,9,808851
Straw Hat,6,15,558125
Gnosa,3,23,287849
PANTYniAUNTY,4,24,478533
HidE0ut,5,34,255138
NobleBloodline,16,21,1546283
Gryphons Honor,4,18,573730
GENKOTSU,7,22,897538
I R2K I READY TO KILL,12,13,905081
Asia Vanilla,5,39,541604
Lord of Yasuke,5,24,615918
Baby_Paradise,5,17,605257
CONGREGATION OF INFINITY BLADE,24,12,1245616
The Gang,11,19,596835
Silent Power,5,11,4381268
Death Wish,25,15,11553497
Wonderpetz,22,9,5341848
Mandala Guild,1,17,194065
B L A C K L l S T,4,22,323617
NoobGaming_YT,2,17,754231
Rainbow Sea,10,18,2219515
Gankrs life,2,23,423113
DragonWorld,19,30,2254285
HBY521,11,18,800095
Crownbound,7,6,1373997
Mistwood Fen,0,17,219425
L O N E,24,5,1085248
Yellow Zone Kings,11,21,597379
HER MES,21,22,1901813
War Bears,5,20,326124
Villain Society,8,21,4631983
HELLO KOREA,14,37,491449
strange thief,34,22,1124752
Ayutthaya Warhost,12,18,14404688
LOOKOUTS,5,17,395107
DeRSimli62le,8,5,713845
Unicorn Shield,40,26,12817617
Overhealing,9,45,530137
NGGang,20,17,3338976
FINAL FORM,6,18,1114249
SDteam,23,22,2884122
Dystopian,18,30,1455698
Boxers,13,17,2802561
deadwood,6,13,621793
RATOP,5,18,2393012
W2P,7,19,558076
niubidian,34,25,1953077
TAKEDA 24,4,27,452043
G C D,17,24,1498636
why you bully me,20,4,1454620
C H I,6,8,633255
L I B E R A T I O N,3,25,587565
Heaven Drive,26,14,13126442
TrueMatch,4,20,766546
MAFIA ZONE,2,17,379809
very very what too,4,19,438972
Aetherium,1,17,296078
ArtEm Warrior,23,15,1134722
MO GU II,19,34,5741559
Soop,5,25,872778
LEGION BYZANTIUM,8,7,738969
Belial,25,27,5364910
Hiraya PH,10,11,329961
SeaFamily,4,13,620656
KEYBOARD,16,14,1149692
YAJUSKBJapan,5,16,602348
ALIVE,14,18,823935
Ironclad Concord,5,14,1047787
BURONAN,14,25,2339387
T H C,25,17,1251009
vermilion,4,12,2741472
REBELSCOUT,10,12,888755
Honey-Badger,4,22,268000
Phoenix Reborn,18,18,2765488
ETERNAL CRUSADE,2,12,461022
SERIGALA HITAM,7,15,377537
SilentMemoirs,4,12,314943
E U N O I A,11,22,663253
booz party,22,16,1956556
80S Guild,5,19,935089
RAGNAROK,4,19,435914
Elden Ashborn,6,17,736017
Screamy,2,25,236268
DRIFTERS UNITED,4,18,379214
WonderPets,8,25,783686
U N D E R R A T E D,16,22,1757642
peace maker,5,14,1160401
VFX,5,20,223450
Petanii,9,17,505670
War of Shawdows,4,17,440229
Atq Fan Club,4,15,279433
HuaLiHuSao,7,17,948626
Marlotck In Heart,4,20,309411
Sweetheart Boom,15,21,3858294
PK MAX,1,17,416647
B L A C K H A W K S,8,22,492416
Albion Newbie Shelter,0,21,92047
HAMSHTER,2,14,713409
GymRats,3,15,562263
HaChiu,5,12,1244641
KHAOS,42,9,4116076
Gold Bless,15,12,2579331
Itot,18,10,3215234
MORGANACULT,9,32,941082
KING REVENGE,3,11,429862
DARK SUNN,3,19,509113
Concordia,2,16,383716
Albionvill,0,17,169481
kokop,8,3,891395
Green Knights,17,10,2993448
ATOMIC STERLING,7,16,690345
VOID OF CHAOS,0,7,253775
Fame Focus,7,8,454551
Red Paw Gang,0,13,384380
The Four Kings,8,12,637062
M A N T R A,37,8,1894179
Everwind,3,16,261271
The Betrayed,4,18,588767
Shut It,5,17,606069
LOSER CLUB,2,16,198382
PUMPIM,5,27,547774
BLACK STAR,6,10,361484
BL4CK SIGIL,6,14,291714
Memek,3,11,352935
KANTO,7,16,401955
