Guild,Kills,Deaths,Fame
Matcha Ore,0,0,13052
MINlONS,21,30,14071231
KURAMA,1,0,94796
WOMANIZER,0,1,37888
-,9,4,905224
HIRAYAH,2,11,249970
TakusaVegas,1,2,95637
RecaII,0,1,11625
-,0,1,0
High Cards,0,0,32735
Love-Apartment,3,0,134774
B L A C K P E A R L,0,0,181222
Iron Dominion,1,1,60039
Deathwatch,3,9,258092
ALL VICTORY,1,7,835356
80S Guild,1,1,22416
New heliansheng,0,0,246308
9o6,0,1,17430
RABBIT RAIDERS,1,1,63308
Rescue Station,1,21,5571691
CHILIS,11,6,5101014
The_APEX,0,1,0
KaizokuShinigami,0,1,0
Yacha Rule,0,0,142935
-,0,0,26421
UnifyVN - 304,3,5,1659685
-,0,0,14845
Buzztard,5,6,610728
Astartes,0,2,3621
Peng Lai Xian Jing,0,0,4308
NO_OC,49,16,5399645
Pink 7,45,25,5479603
F R O Z E N,16,10,1680936
S D G,2,15,880387
Holy Black Knights,0,1,0
-,1,2,234957
Ala,0,3,73254
C O O L D O W N,0,1,167936
Mika,5,8,3020747
Speed Check,0,3,0
-,3,4,222548
The_APEX,3,17,539804
Midnight Rose,0,2,88670
light of darkness,3,3,108824
Buccaneer,0,1,28521
WeAsked,0,3,666538
GOD EATER,14,10,2493598
SUN LUCK,0,1,13816
The Neighborhood,5,9,966489
Liang-Shan,2,4,93538
Mika,15,4,1004649
Dragon-Mi,5,1,2668289
Crusader Kings,4,1,745715
-,0,1,0
Ala,0,1,16656
-,0,0,18051
War Bears,0,0,16548
GUARDIANCATS,0,1,11389
Fightin fool,43,18,7633666
snow forest,13,20,10634772
-,0,3,23800
Realest,1,1,32992
DeSaiko,45,11,3884501
Heart of Thetford,0,1,0
-,0,1,0
Buccaneer,4,5,1003479
AK-47,0,2,24059
Lucky Fools,11,13,2004462
ONG BUT,1,12,535718
AK-74,0,1,16888
ORANG JAWA,6,10,418519
Children Of The Dragon,0,0,756603
VietNam TheFord,4,2,144416
Warhammer Defense Core,0,11,120123
Alone in The Mist,1,6,44530
Dawn Seeker,1,4,528503
Laughing Boulevard,41,17,14825813
