Player,Guild,Kills,Deaths,Fame
zhuge5iannu,Minerva-X,0,5,907994
zhuge2iannu,Minerva-X,1,1,1044463
zhuge2iannu,LaiFaNongDer,3,4,577071
zhuIF,MCS-P,41,17,5410209
zhu308,DragonWorld,0,6,0
zhrake,WhiteSuits,2,1,39508
zhouzian,PLAC,0,2,518007
zhoumouren,Boar Army,8,16,3827816
zhouliu666,NULL,0,3,507867
zhouliu666,HappyDay,0,0,860914
zhouenlaiii,Free Butterfly,38,19,3401481
zhongtianmishu,Healing Cannot Save,0,1,0
zhongjiayou,niumaz,1,0,33435
zhoijielun,F R O Z E N,13,22,2836253
zhjjhenda,Meeting Stone,14,37,8835837
zhizhe12138,Forever Night,1,3,322163
zhizhan,CCTV,7,7,4730563
zhizaodalao,Gondor,0,0,147909
zhiqin,Gold Pigs,2,1,144840
zhimahuo,AK-47,0,2,78138
zhijiandeqiji,NULL,21,19,3990902
zhijia,Liberty World,0,0,163242
zhijia,-,0,0,28544
zhienc1,CCTV,5,2,1335077
zhidianzhena,Dragon Blade,3,8,823741
zheshiboss,S D G,1,3,145567
zhenyiyyy,-,0,1,0
zhenling,Legacy From Hunters,0,2,17096
zhenguoli,Tree Viper,14,11,2434174
zhengchen,conquer,39,29,3922220
zhekyang,Visayan Express,1,1,4971
zheeng,Sapling-MIU00,0,1,12790
zhaociamao,-,0,2,0
zhangzhanfei,DeadlyMouse,0,1,112812
zhanguoqinjun,Crazybabys,0,2,116494
zhangsonghui6,CCTV,5,32,10940279
zhangmumu,Free Butterfly,0,2,0
zhangmuliang,China,0,1,492125
zhangmuliang,Hei Hitler,7,6,1146044
zhanglaosan,SAOdeyapi,25,20,1575866
zhanggui111,MiMe,0,3,257301
zhangdeshuai0,The swallow,53,18,6349458
zhang88,JSCL,3,5,73398
zhakarhi,F I K A,1,5,100934
zhajiang,Red Circle,6,39,4065763
zhaizigui,-,0,1,0
zhChen,Tree Viper,0,1,0
zfzzf,GFN-GFN,2,2,49958
zfoccc,V U A,1,16,4323590
zfliebe,Dark Looters,0,2,78378
zfd,ALL VICTORY,0,1,14019
zezennn,peony flowers,1,2,282878
zexyuz,Tarumanagara,0,5,135992
zexyuz,Xendal Jpitz,0,0,13509
zeusisback,Loyalist,0,0,466946
zetaaaaaa,Holy Black Knights,0,2,0
zerovi,VALYRIAN,0,0,1395
zerotwohero,Kamusari,0,2,7647
zerotwohero,SubuTai,37,7,5250184
zerored,Crusader Kings,2,46,4877997
zeromiz2,Hymn of Valor,0,3,0
zerolast,ON ME,0,2,7857
zerokilll,Killyoueiei,4,4,565025
zerofight1,-,3,8,163097
zerofight1,NewFalconComunitas,0,3,0
zerofight1,Precious Pearls,1,3,56141
zerofarel,BYOT,1,2,749338
zerocc,AK-74,0,1,61335
zero3,Mika,25,17,10829780
zero0105,9191,1,0,536900
zero0105,-,3,3,1341675
zerithh,SUN LUCK,0,1,27092
zerikun,The_APEX,0,2,0
zercbergggQ,-,0,1,0
zer0byte,-,0,1,0
zephyr2026,E U N O I A,0,0,42210
zephyr027,Matcha Ore,0,0,13052
zenzeroo,MINlONS,21,30,14071231
zenrose,KURAMA,1,0,94796
zenrose,WOMANIZER,0,1,37888
zenrose,-,9,4,905224
zenoyearner,HIRAYAH,2,11,249970
zenoxamv,TakusaVegas,1,2,95637
zenon112,RecaII,0,1,11625
zenolos,-,0,1,0
zennnnn101,High Cards,0,0,32735
zengxiaoxian,Love-Apartment,3,0,134774
zen27,B L A C K P E A R L,0,0,181222
zeko11,Iron Dominion,1,1,60039
zekenn,Deathwatch,3,9,258092
zeke48,ALL VICTORY,1,7,835356
zehun,80S Guild,1,1,22416
zeferk,New heliansheng,0,0,246308
zeewe1,9o6,0,1,17430
zeetttaaaa,RABBIT RAIDERS,1,1,63308
zeeeuuzz,Rescue Station,1,21,5571691
zedope,CHILIS,11,6,5101014
zednel,The_APEX,0,1,0
zed333,KaizokuShinigami,0,1,0
zebub,Yacha Rule,0,0,142935
zea41,-,0,0,26421
zdiuC,UnifyVN - 304,3,5,1659685
zcx1,-,0,0,14845
zctvhk,Buzztard,5,6,610728
zco0by,Astartes,0,2,3621
zcli98,Peng Lai Xian Jing,0,0,4308
zbinza,NO_OC,49,16,5399645
zbc,Pink 7,45,25,5479603
zb11t,F R O Z E N,16,10,1680936
zazyyz,S D G,2,15,880387
zazanikomo,Holy Black Knights,0,1,0
zayhtoo,-,1,2,234957
zayhtoo,Ala,0,3,73254
zatty,C O O L D O W N,0,1,167936
zasuibiepao,Mika,5,8,3020747
zarszz,Speed Check,0,3,0
zaqarii,-,3,4,222548
zantzygg,The_APEX,3,17,539804
zangred,Midnight Rose,0,2,88670
zangkun,light of darkness,3,3,108824
zaneeeeeeeeee,Buccaneer,0,1,28521
zamu7144,WeAsked,0,3,666538
zambeisnoob,GOD EATER,14,10,2493598
zakkymm,SUN LUCK,0,1,13816
zakamoto,The Neighborhood,5,9,966489
zakaibb,Liang-Shan,2,4,93538
zaka,Mika,15,4,1004649
zaka,Dragon-Mi,5,1,2668289
zaka,Crusader Kings,4,1,745715
zainxx,-,0,1,0
zainxe,Ala,0,1,16656
zainxe,-,0,0,18051
zainxe,War Bears,0,0,16548
zainxe,GUARDIANCATS,0,1,11389
zainulandang,Fightin fool,43,18,7633666
zailachele,snow forest,13,20,10634772
zaifen,-,0,3,23800
zaidyn,Realest,1,1,32992
zaeekk,DeSaiko,45,11,3884501
zae528,Heart of Thetford,0,1,0
zacvk,-,0,1,0
zachrooo,Buccaneer,4,5,1003479
zabing,AK-47,0,2,24059
zZzxloc,Lucky Fools,11,13,2004462
zZsadaZz,ONG BUT,1,12,535718
zZ05Zz,AK-74,0,1,16888
zXRIXz,ORANG JAWA,6,10,418519
zTeresa,Children Of The Dragon,0,0,756603
