Player,Guild,Kills,Deaths,Fame
Dangherenmin,All Rise,19,29,27477780
Potanta,PAPAYA POKPOK,67,32,4815365
BubuFS,OPFarmer,16,53,1625525
henryho1996,HeIIo Kitty,4,23,32884210
SHAUN,Maharlika,55,32,25307266
Escanor,Initial Engage,45,37,11567173
Viriel,MAX VERSTAPPEN,59,15,6591475
SeitanQVQ,HeIIo Kitty,31,25,27560344
znlskcak,Meerkat Assemble,44,23,21412841
suirenka,All Rise,7,31,21320464
loklok116,Boar Army,49,77,3955090
Geon123,Maharlika,138,22,31682948
Eindel,Topspire,24,32,12856654
Winx3,Snake Snake Fish Fish,145,48,22356708
xRennn,Singosari,79,39,8164541
EmiliaRose,Topspire,18,35,14458271
Layna,All Rise,10,37,22709054
zos1,Meerkat Assemble,15,44,18215238
iDntCar3,Meerkat Assemble,0,17,16010404
victorwinner,HeIIo Kitty,150,21,39123880
Coffee,Meerkat Assemble,212,23,22384070
BrenChongg,Frostbite Reapers,20,9,4747141
Pukinakulayrosas,COALITION,90,39,24046974
yumyTimeyumpaJET,xCUTIESx,11,43,16043091
Urios,COALITION,40,29,14258797
513Tea,HeIIo Kitty,247,24,37914284
NatNattapat,xCUTIESx,56,60,19224534
xia0710,HappyDay,38,80,13319786
AhGeeZai,HeIIo Kitty,111,21,31289061
NiRek,Empyreus,57,43,35944298
Afferaclya,Topspire,132,28,16698443
Anioo,Earn money,52,22,19672707
YamashiroLove,-,25,34,1645012
TrickyAmy,MAX VERSTAPPEN,14,20,4414988
TAW4,COALITION,120,25,14657249
AV520,Earn money,2,49,15487547
Tatakai,All Rise,147,43,34046000
MatureK,snow forest,127,34,22834865
baihuz1,PLAC,16,42,23112008
BloodShura,Western Paradise,26,58,10544460
EweAkudong,AFTERMATH,10,29,12082453
McTok1s,Meerkat Assemble,83,45,18814459
PECO,HappyDay,35,64,13747115
DRIVE01,PLAC,126,38,39258915
TuongVy0106,Meerkat Assemble,174,21,39479381
Mozart,Maharlika,38,30,24097145
FEWTHESUN,xCUTIESx,58,35,10274767
BPJisoo,HappyDay,30,58,14472875
Drling,Western Paradise,14,62,10880543
Hezza47,AinzOoalGown,104,22,4481295
DrNzzz,HollowCrown,24,47,1710248
OnikaKing,Speed Check,13,23,4525415
returnee1,Maharlika,122,45,29034857
motihamaru,Meerkat Assemble,36,35,18415161
THEimax,xCUTIESx,55,51,19242936
BerbD,PAPAYA POKPOK,45,25,7443497
BeliauNih,AFTERMATH,34,36,10550750
Sheeon,Initial Engage,107,23,11291884
Perrytom69,HappyDay,30,66,12844572
LuXiZyuan,Topspire,41,30,15671420
Nev,MAX VERSTAPPEN,60,19,6574943
Mbadi,HeIIo Kitty,141,25,27032134
lingluo,Artery,39,37,11228109
JustTryIt,Chikipi,54,33,31300479
wadaxi619,HeIIo Kitty,15,22,36030565
XIXj,-,63,12,4996140
ChainaKiller,xCUTIESx,51,40,22307901
SHREDDEDFRED,Speed Check,118,19,5369242
HarukiPanda,Earn money,19,50,16067932
DailySilverV2,Topspire,17,27,13007764
MoMoKAs,HappyDay,31,63,14355179
Huhaysa,Western Paradise,47,42,11841011
Nuub,MO GU,20,27,8097874
jie1973,All The Villains,72,26,30730691
Jessienggg,Initial Engage,19,47,9973093
LyElysianLy,Meerkat Assemble,21,44,16361680
Kaiser16,MO GU,53,21,13307508
yuki7777,HeIIo Kitty,38,15,34479217
beiyang,Pink Memory,91,21,26676104
iLyaa,Conscripted,210,29,18006069
how2lose0001YT,Chikipi,97,52,23285413
