Guild,Kills,Deaths,Fame
Crescendo,1347,804,442433714
CRISGUN,1324,1932,186150380
The Highlanders Tavern,1320,1092,143103766
M 1 S F I T S,1306,1048,407258683
Trop Tard Pour Fuir,1301,1295,182170625
FAMILIA ES TODO,1293,942,102964705
Food OC,1267,1682,303134228
Solary,1265,1467,179296903
Slappers,1255,1538,226431851
Lootiiiing,1247,1721,358938512
Black Legion,1243,1269,162855023
SOCIEDADE,1242,573,290878994
Cashout,1224,434,438787039
WIPEEE,1217,1741,338085269
DontNeedYou,1208,1354,185876082
Les Monts Gaulle,1198,580,71908777
T R I D E N T,1196,909,458552650
Panda Corp,1190,1276,281929861
Loyal Guards,1188,620,70848161
Verity,1187,949,248169143
Pentacle,1187,1832,214883363
A-T-L-A-S,1179,964,322311545
SZKODA OC,1177,579,190276240
Newbee,1160,1241,273962068
Eternal,1160,250,77008055
Press The Buttons,1150,895,301452416
TCHITCHI,1149,967,343611160
AND FRlENDS,1140,774,374707693
Frostborne,1136,1637,167470496
Dutch Chaos,1132,1218,260986263
The Pines,1123,635,436625053
Faction Guild,1120,1433,96010195
Sever,1098,2241,98365536
GachiBang,1087,1643,130217467
I-DEJAVU-I,1078,989,177832154
Turquoise,1064,1345,155386594
Swords Drawn,1063,991,100516079
Genesis Kompany,1061,1178,185977173
Ruthless Reign,1058,756,293935786
EU Federation,1052,1025,339376481
The Way,1052,1598,313970954
We Fell Apart,1046,673,311037104
OBW Przyjaciele,1045,1057,114123514
ZombieSquad,1044,1154,245582103
H O R I Z O N,1039,786,355681309
AllYouCanIT,1037,473,315693280
IX Kohorta,1029,1101,113597957
M I N D L E S S,1023,251,91641723
REFAKERITOS,1010,925,254671553
GROK,1009,476,336845630
Kal Vas Flam,1002,1158,82726276
MAYHEM,1000,824,356609980
BIRTENGRII,991,1309,114256802
Le Bus Magique,986,1221,194937432
Skrzynkobiorcy z Prowizja,982,1704,232632972
Archons,977,782,201914584
SPREAD,973,642,169442002
Glorify,956,1594,166651500
RUSSIAN BEER COMPANY,954,1420,180796221
THE CLOCK,951,434,307623051
LiMing,945,1137,96983367
COSMOTE,932,603,103093426
URPAQ,924,1371,158738944
HALUSINASYON,921,818,67776327
LaPililasArmy,918,712,296155700
Insane,910,809,333231347
TENSAY,895,760,242838206
HEREDEROS LEGACY,893,825,297959567
S Y N D I C A T E,890,886,101023184
Berserkion,888,2370,91595088
Balkan Legion,880,934,88866389
Killer Trolls,879,854,66736201
THE HANGRY HIPPOS,879,646,54942089
The Hope,856,1445,252144611
NO META,839,587,154994180
FBl,836,1203,131723093
Hit and Run,815,929,187129940
Brawl Squad,813,461,89363234
Revenant Requiem,812,1131,158851438
Wild Rhino,811,310,78115593
BanderShtat,810,2402,153148249
Golden Monarchs,800,708,139484340
Dark Shadow,791,340,72025660
M O R G U E,790,345,226926226
We Craft,776,981,70661663
BiPoLar,773,1102,136061209
proud ducks,772,688,53656346
FIGHT KLUB,768,188,86563020
EURO,766,885,287913633
SIXTYNINE,760,542,231974903
D R A U G R,760,947,171546548
Wine and War,759,420,50666820
BattleStar Galactica,753,592,42795583
Carpet Ninjas,748,797,58775175
B L I N K,742,441,185537381
Bloods Legion,739,365,71337720
C2H50H,738,600,213634542
GLOVO,733,923,265754597
Bylock,732,818,164014514
Domalingo,728,457,229450739
Njordheim,726,567,81601818
DaraVur,725,185,51629872
Wrong Ways,723,528,262370096
Solea,721,952,231383047
Millennialis,718,487,78505361
Last Way,709,901,135933099
Pure Crimson,706,1230,145681189
Lock Down,705,946,149452704
ROCK STAR,700,69,32410267
No Skills,697,1041,150695838
Mercenary Idman Yurdu,695,1154,114422177
GADDAR,690,592,216624867
Desine et Morieris,689,559,124866216
No Brain,685,1251,162896792
The Ganklist,682,691,114241886
Take a Break,681,919,79134693
El Tercer Sello,678,740,88581005
LET IT HAPP3N,678,816,48906710
ACAB,677,1407,47466436
Rage ControI,675,304,58502869
Gatherers Tears,674,633,66355281
Azgard,668,1709,142400204
Only Blood,665,591,101970825
FINSTACK,663,498,222410513
Darktechnoclub,663,248,63504218
Proebali,660,672,184234129
Elisium,660,1394,71568884
VITRYLA,657,709,147133241
Ferrin,655,921,84995907
CHINAFIGHT,652,432,194320539
RAV0N,649,667,72708017
The Theater,644,290,220132015
Fluffy Panda,642,1212,68838279
Grods,640,212,75129920
Grimgar - Aventuras y Fantasia,638,747,55766573
SEND IT,637,327,46576277
Burn,637,103,43637146
Dementia,636,587,176792054
Cwazy,635,536,158205605
LELEKA,634,642,65519946
YANGE,629,809,151599663
as Always,625,472,128309014
WhiteZone,616,425,45051094
Prosektorium,609,582,120205958
The Night,609,777,43772297
Dokodo,607,1341,87484237
RAT PACK,606,232,44114867
1Clap 1Dream,603,262,230591846
FBI,601,283,60545049
Destroyers of Destiny,598,1436,147407670
Laughin Coffins,595,813,142024536
The Buisness,593,546,46116121
UFORG,589,339,162527689
NAJSILNIEJSZA GILDIA,584,408,163226469
Guinness Draught,584,932,97595737
Response,581,270,74009106
Black Sky,580,1014,142165247
HANGOVER TR,580,493,66337535
Raft,579,441,165981761
Fall,578,548,105232107
Shinigami Chop,578,589,56746143
uncrowned,574,803,156349887
Gamble,572,485,184317538
Logout,569,291,33135048
Pendragon,568,430,167186894
Doro Party,567,425,241671270
S P A,564,241,176390329
Fading Echo,563,1184,132721784
Slacking Dogs,556,372,200816958
Freebooters,553,321,35069146
S O V E R E I G N,549,945,145672020
1Turn,545,368,161973547
Romania Mare,542,552,149332032
St soprano,542,535,132887502
Rewind,541,648,73464137
Rise Of Dahalo,538,1135,52359328
Bingchilling,535,274,159054702
PICK ME pls,532,585,97830328
Westeros Gankers,530,224,37867760
Bloodbound Order,529,589,105506158
La Chasse,526,158,72178589
Devoted Bears,525,327,30419617
Cluster Queue,522,316,181626350
Council,521,556,94034948
Faith And Steel,521,407,50820198
La Horde Sylvestre,520,654,37539708
LES GOBRIATES,519,370,71004512
Catgdom,518,505,115844159
O N L I N E,513,913,48453513
Gayzer Pool,504,1125,80216178
VVolfpack,504,869,47842742
Heretics,504,473,21583037
Fissa boys,502,204,20743379
P A R A D 0 X,501,729,82512009
TONGKRONGAN,501,438,53335788
Mroczna Armia,499,574,42139719
AO MMM,495,743,42352876
Requiem Aeternam,495,611,35407570
Dark wolves,490,448,56961282
Camel Riders,489,1048,151786607
Sugar Rush,487,234,171751971
Gank Banks,487,447,49580522
NoTag,487,879,44427759
BARBARLAR,485,322,97533305
I M P E R I V M,485,747,64889585
Pink Unicorns,482,396,74295947
Summer Camp,479,194,172569259
Still Sane,479,137,114499864
Generally Speaking,479,988,62874395
ROH,477,225,173521137
FROSTSURGE,477,545,93973911
Gankendos,475,339,134736729
Dark Aesir,475,752,37804632
CHILL ROOM,471,245,161792860
EuroHunter,471,1106,152200231
IKUN,468,951,133572440
Login Horizont,468,668,98334490
Gen Alpha,465,89,51630004
Fort Defenders,465,715,39000867
BLYAT STORM,464,850,103916403
FOR SOLO PLAYERS NO TAX,462,261,25036753
Honey Pie,459,887,59789991
Falcon Blade,456,448,133967030
BCRP,454,501,102552507
F A I R F I G H T,451,316,57818452
Lusos,449,88,16299753
GAGARAGOGO,447,781,76693320
Frontline Division,444,536,88061863
C K A M,444,123,44515183
Hard To Be Good,442,414,109228843
T R I B E,440,389,36340016
GLI STIRATI,439,634,89193090
ZOULOUX BOITEUX,437,311,99704877
VICTORY LAP,434,274,119763483
The Hundred,429,452,71292743
StormCloaks,429,858,64365975
1-st,428,467,31918846
BestattungsGmbH,427,442,40269827
The Madman Brothers,426,333,34595741
Revensong,425,565,91229498
Stockholm Syndrome,424,729,105927652
JonTurks,424,218,22410237
NoRules,421,386,91381548
Blakice,420,108,38650374
Conquista y Siesta,419,142,25315279
ForceUp,416,514,120463063
SENGOKU PRIME,416,757,45089033
GODSMACK,415,797,77322361
A U R,414,392,70343169
Orbis,414,508,32201903
Wet Beavers,413,85,30135149
Full Chill,410,39,16935164
UNLIMIT,409,268,181500540
Kiss or Spank,409,806,118507878
El Barril Borracho,407,702,74868015
IIWANTEDII,406,385,69585253
Over Gear,403,360,42604982
GOP,403,179,37821099
Thetford Social Club,394,576,29397662
Ethereal,392,555,125914532
hehehaha,392,120,34837392
Skorpiony Zniszczenia,391,539,40908551
ARCH0NS,390,153,111897065
Only Gathering,389,137,23516425
Steppe Bros,389,531,12510173
DSQ,388,382,30740911
Mutiny,387,248,79436627
Arab Lions,386,1194,35420674
TROY,385,282,30979305
Masters of Albion,382,1054,37985494
Vena Negra,381,103,20736256
Plague rats,380,370,76280725
Les impots,379,416,41269499
Schoulzen,379,174,38801853
Caja Rural,377,422,73179063
Carnage Incarnate,377,251,14417873
Legio Potens,376,490,32518336
Blaming You,375,329,86479711
A3OB,375,606,72314912
Elit3,374,447,39559980
One Piecee,372,394,62984236
La Huella,370,211,114443082
BIue Army,370,43,13069944
know youre afraid,370,201,11633522
TRIDENT,369,365,128586064
E R E B 0 R,369,386,118741757
Googly Moogly,368,645,53934495
SUB7,367,268,48804878
Potatos,366,566,82530106
RZBodyGuard,365,256,29131421
BLACK-BOAR,364,683,47192640
one4all,363,319,103184550
The Flaming Roses,363,117,33489414
Wild Instinct,362,826,51156069
Boys dont cry,361,132,19709073
Sons Of Neptune,360,598,29503520
Sincerity,358,349,57035495
Astra Ignis,358,694,30174732
The Black Pact,357,155,43703903
Guerriers de Fer,357,289,42175027
Castlevania,357,327,24039116
HOG HOG,354,514,64750154
JamonLover,352,465,99683353
Hollow Vector,352,645,40377572
RASTREATORS,351,617,13762787
The Last Pagans,350,343,25980751
Sanguis Draconis,346,641,40567136
Diablo Hellcats,346,348,37487500
LastParty,341,637,36493653
Priority,339,514,60807839
HURRY UP,339,455,52632051
SHEMISTAN,337,479,77639314
Rise of Infinites,337,361,38326733
R-I-P,334,248,59194251
Suicid3 Squad,334,566,27999443
Taverna dei Grugniti,333,507,38574026
indrix,329,502,33870751
ANATOLIAN WRATH,328,474,32071315
Die Content Blocker,328,433,12380206
Bollwerk,324,609,34697638
C L A D E S,323,466,69209730
Telecinco,321,244,91971876
K0NSEY,319,368,33021150
Anchored,318,453,66409858
UA _MOROK,315,449,35565198
ACADEMI,312,470,51724213
NOXERA,312,305,26955581
Throwing,311,499,67330973
Dragoons,310,377,44793992
Yum Yum,309,196,80677846
Les Fouetteurs de Dragons,308,277,60729934
WaPota,308,629,34966966
Modest Circle,306,426,48693776
Sonnenfinsternis,306,630,43953649
AsturGalaicos,303,658,43056905
BTBF,301,484,45577027
Economic boars,301,466,41902594
OxyGeNN,301,515,28655933
JOBLIFE,299,314,26342227
INFERIUM,298,421,30753863
Achieve Hunters,297,244,104532106
Fxcked,296,173,31776885
VELIKA BULGARIA,295,558,36009240
Greek Hopletes,293,602,35739186
Bush Bandits,288,437,56280273
Chinazes,288,116,10841423
Pandemonium,286,482,32433356
Pikmin Corporation,285,195,105958427
Y a g a,285,421,51424321
Gabella,285,110,49836558
A T L A N T I S,285,285,26227037
Legion Del Apocalipsis,285,386,21837370
P E R M A V2,284,436,87774903
Better Guild,283,46,13281812
Old School Army,282,405,63068413
GreatMing,282,251,43057703
Sigmoleum,280,431,104955679
M I S T A K E,278,190,83315099
O U R O,277,272,88434046
m e r c a d o n a,276,120,95862747
S A Y G I,276,371,27937164
Bend Over,276,124,16176730
Capibara,275,224,25931520
All 0N Black,274,88,50547934
THE BEARS TAVERN,274,900,45587585
Dark Lions - DLS,274,112,31638882
Symbioz,271,232,19449626
Night-Reapers,270,388,54590820
W I P E,267,246,63970141
I M M I N E N T,266,127,36335120
TrustBound,266,557,27649169
BRRRRRRR,266,82,26677861
EBENGRAD,266,524,23537625
Royal Clowns,264,375,23500591
Empirium League,263,611,42273846
No fear us,263,51,17115016
CONTEX,262,77,7309207
SO WHAT,260,178,53016283
Grancrest,260,219,22548011
IMBA,260,264,21609693
HIGH GLANDEURS,260,77,14322484
Legion der Verdammten,259,526,27277947
Funeral,258,237,35444067
Eclipse Order,255,428,30201321
