Guild,win,loss,Total,Winrate (%)
Arland Empire,0,1,1,0.0
Army of Ape,6,11,17,35.3
Ars-Nova,4,3,7,57.1
Art Of War,0,1,1,0.0
ArtEm Warrior,11,13,24,45.8
Artery,164,99,263,62.4
Arthasena,1,3,4,25.0
Arufa,1,6,7,14.3
Ascendant,0,2,2,0.0
Ascensum,18,3,21,85.7
Asgardian Farmer,3,6,9,33.3
Ashadiya,0,1,1,0.0
Ashen v2,0,2,2,0.0
Ashes of Illusion,0,1,1,0.0
Ashes of Mahadev,0,1,1,0.0
Asia Merchant,0,4,4,0.0
Asia Trade Federation,2,1,3,66.7
Asia Vanilla,1,15,16,6.2
Assassins Killer,2,3,5,40.0
AssassinsHunters,0,1,1,0.0
Assert Dominance,1,0,1,100.0
Assyllum,0,6,6,0.0
Astartes,25,32,57,43.9
AstraCervus,2,5,7,28.6
Atq Fan Club,3,14,17,17.6
Atrades,3,2,5,60.0
Auraka,10,25,35,28.6
Auroras,35,51,86,40.7
Austere,0,2,2,0.0
Avalnom,9,14,23,39.1
Avalon Little Punch,0,4,4,0.0
Avalons Gangsta,6,5,11,54.5
Avenger Regroup,17,39,56,30.4
Awake,1,1,2,50.0
Awang Hitam,9,3,12,75.0
Ayaka,6,1,7,85.7
Ayutthaya Warhost,8,16,24,33.3
Azeroth Knights,1,3,4,25.0
Azur,2,1,3,66.7
AzurLane,0,1,1,0.0
AzzuraIV,1,9,10,10.0
B A N G K 0 K,2,5,7,28.6
B A R E K,1,2,3,33.3
B E G A D A N G,0,1,1,0.0
B L A C K H A W K S,3,16,19,15.8
B L A C K L l S T,4,22,26,15.4
B L A C K P E A R L,87,117,204,42.6
B L O O D L U S T,6,17,23,26.1
B a r b a r i a n s,0,3,3,0.0
B o S,16,70,86,18.6
B-E-L-A-T-squad,13,8,21,61.9
B1G MAPLE,0,2,2,0.0
BABABA,0,1,1,0.0
BABEKINGDOM,1,4,5,20.0
BADLAND,0,7,7,0.0
BAHOgamers,0,2,2,0.0
BAN RED,2,1,3,66.7
BANGSAL TEROR,1,1,2,50.0
BANTENG IRENG,0,1,1,0.0
BARDS ALE,38,8,46,82.6
BATAVIA,3,15,18,16.7
BATTLELION,0,2,2,0.0
BAU BAU,0,1,1,0.0
BBCocq,2,0,2,100.0
BCHDDM,0,2,2,0.0
BDEXs,0,3,3,0.0
BEHEAD,18,8,26,69.2
BENDAHARA,2,6,8,25.0
BENG_BANG_PH,32,39,71,45.1
BF3-NAROCK,1,3,4,25.0
BIG DEAL,1,1,2,50.0
BISAYA LIFE,12,25,37,32.4
