Player,Guild,Kills,Deaths,Fame
zesko93,Taverne Des Gueux,0,2,0
zerziii,Critical,15,22,11411944
zerziii,Deporte en Porte,0,1,694370
zervon,Dont stay here,0,0,94786
zertw,-,0,0,6312
zerquPL,-,0,1,0
zerquPL,Throwing,1,0,160949
zerquPL,SURRENDER,0,7,1025560
zerotohero1b,-,1,2,25272
zerotohero1b,Out_of_Control,0,1,0
zeroto1billion,Unforg1ven,0,3,134947
zeroto1billion,Inquisitors,0,2,34045
zerotaturk,-,0,1,0
zeroraze,-,2,3,236244
zeropoint1,Food OC,1,1,713785
zeropoint1,Berserkion,0,3,35420
zeropoi,HBSB,1,8,342824
zerop9,F A I R F I G H T,0,0,10558
zerolost,-,1,0,98712
zerolost,Yamato Club,1,4,108614
zerocore,Treasure Hunt,5,2,335737
zero78,2026-09-03,0,2,0
zermep,Le Bus Magique,1,3,74088
zerlig69,Ecurie,0,0,71460
zerlig69,-,0,2,0
zerggov,Cyber Cats,3,25,5569057
zephirhugo,Squirtle Squad,1,7,2691708
zeoner,Legion Del Apocalipsis,10,3,412938
zentrr,Burzyny,8,1,1184363
zentrr,Cwaniacy,6,3,1394387
zennoRRR,Pure Crimson,0,2,14213
zennazlatan,ANY FIGHT,12,33,16095234
zenicgoat,-,0,2,65972
zemstasina,-,0,1,0
zeman999,The Bloodmoon Pack,0,1,0
zelto366,Sangreal,0,1,0
zelkowatysia,spoko,1,9,81097
zelins,Pyramid Scheme,0,3,1833950
zelins,Ex N1hilo,2,4,90254
zelik250,maradery,0,1,21883
zelib0bka,-,2,1,383261
zelib0bka,WarTag UA,6,2,449620
zelek0960,spoko,1,10,31893
zeitgeist666,APAO,0,5,184466
zegnam,Gatherers Tears,1,1,33998
zefirekk,Cwaniacy,31,10,3409477
zefirekk,Burzyny,25,2,1434210
zeetos,Storm Reign,0,1,0
zeeroon,Last of the Ratts,4,16,3766361
zedug,La Horde Obscure,0,1,0
zedock,S W A M P,0,1,90354
