Guild,Kills,Deaths,Fame
Golden Monarchs,309,189,29114153
Dementia,172,167,67283473
StormCloaks,129,337,26465074
Elit3,222,231,23162142
NOXERA,293,288,26207366
WHY NOT,182,173,22325031
E H O T,148,176,43692271
G U I D E S,89,291,22318548
Revensong,140,231,27414891
RAV0N,292,135,16207175
Thetford Social Club,113,196,10486826
Deporte en Porte,413,179,37122366
Elisium,328,287,20092173
FROSTSURGE,120,207,26490600
Ethereal,122,185,59698521
Desine et Morieris,326,108,42755903
DaraVur,229,72,16853548
1 3 3 7,178,156,41333056
ACADEMI,152,186,20856539
IX Kohorta,213,186,18601067
Bylock,159,163,32218754
C2H50H,168,106,46995472
BonSaissx,197,256,16326810
THE HANGRY HIPPOS,241,216,12517088
GachiBang,162,230,14547068
HALUSINASYON,257,174,17867831
B L I N K,204,139,50704639
O U R O,146,160,46034083
Dutch Chaos,149,115,33556906
Orden Hospitalaria,174,257,10372989
La Chasse,321,111,49993213
Darktechnoclub,225,68,18881046
Bush Bandits,159,200,25942857
iceCold Crew,47,355,9957616
Newbee,162,138,43348456
ACAB,116,296,7704933
Instic,120,96,27532610
Economic boars,128,209,18550259
Brawl Squad,159,139,14864417
Mutiny,146,110,24292706
D-I-S-B-A-N-D,188,160,17658890
LastParty,94,218,8842169
Black Sky,183,143,43524207
Damnificatia,66,184,6597703
Orbis,141,214,9956212
FIGHT KLUB,385,61,24768522
SPREAD,179,156,46610233
Solea,178,113,49268736
C Y R U S,27,176,4188898
La Horde Sylvestre,189,200,11039706
IIWANTEDII,102,143,33591310
M I N D L E S S,416,88,33387106
Rise Of Dahalo,60,173,9415767
R E Ds,118,146,17245700
Night-Reapers,68,152,13539214
FBl,115,182,35876041
Palegrin,118,195,9635164
ZombieSquad,137,131,20703174
Wild Instinct,87,284,9986276
one4all,157,100,42887977
WhiteZone,168,179,15982749
Azgard,51,208,11101737
Cwazy,210,138,54982650
AsturGalaicos,91,195,14772250
Empirium League,62,207,16001688
SUB7,159,132,17486057
Fluffy Panda,91,221,8123396
Last Resort,121,97,24464824
Schoulzen,269,139,30272622
Obsidian Dawn,137,120,34785115
W I P E,151,165,35470203
HellWisee,188,209,13750281
War Fangs,152,126,12513048
Pink Unicorns,107,60,16176899
Gen Alpha,396,69,42135091
Diablo Hellcats,98,77,10142606
RZBodyGuard,116,111,10832930
Sanguis Draconis,94,157,11609101
Loyal Guards,230,70,12468214
SENGOKU PRIME,116,168,8886956
Fort Defenders,87,168,7079865
Balkan Legion,86,139,8061262
BIRTENGRII,66,154,17596328
THE CLOCK,90,83,28418465
NoTag,54,152,4881019
Crusade of the Bloody Legion,64,168,7065764
Shinigami Chop,104,124,9373904
Crimson Imperium Reborn,34,116,6870619
Black Legion,68,150,7423041
Gatherers Tears,91,131,11612429
CALLIDUS,55,211,8544613
Bollwerk,53,161,8295495
OBW Przyjaciele,147,181,15260890
Arab Lions,65,198,3863840
O N L I N E,69,133,8726797
Huge Gap I Cant,86,88,24883710
The Dungeoneers,33,168,3211689
Carleon Blood Contract,94,149,7961051
Take a Break,100,153,12622549
Mercenary Idman Yurdu,76,133,8647980
St soprano,139,112,28493832
Chaos Coalition,56,174,11724594
Grimgar - Aventuras y Fantasia,162,107,10400046
LAST LEGI0N,60,129,4797427
The Night,126,175,10489426
Services Apres-Wipe,103,80,19479396
Fall,183,110,37912704
Wild Rhino,319,99,23598203
Dynastia Egiptu,83,101,9909026
The Buisness,120,133,9291315
Wet Beavers,106,37,9004388
CRISGUN,64,154,5828059
HANGOVER TR,47,77,7775558
Sonnenfinsternis,48,124,6811955
Mighty Goat,120,67,22061502
We Craft,55,136,6952524
The Madman Brothers,95,82,9148417
Logout,158,106,10333461
CUM on Gankers Lips,93,88,5751764
NoFaceSClub,90,90,28555837
Masters of Albion,34,151,4495817
FOR SOLO PLAYERS NO TAX,121,88,5922992
Astra Ignis,67,134,5053173
BRRRRRRR,61,23,7463027
Mroczna Armia,51,127,5074388
Motley Crusade,127,54,37184550
SEND IT,214,60,12649107
Castlevania,249,129,12816246
Stay Out of Our Water,71,57,6748306
Royal Clowns,82,125,8238089
BattleStar Galactica,60,131,6387271
VVolfpack,103,56,7932825
Sweet Boys,51,143,4449579
Gachi Club,55,137,6253616
N O R T H,114,134,5792371
Ze Germans,85,106,6841550
Nuisance,86,99,9722078
Unsullied,49,99,9703833
A Z E R O T H,34,135,6817956
A U R,77,106,17502980
Hyperium,76,73,33571111
R A I N,103,146,4722689
Skan2017,54,132,3840899
Bl1tzkrieg,97,61,14765714
Still Cooking,82,69,15254769
Freebooters,80,131,8884229
Moravian Eagles,83,128,7740439
BARBARLAR,94,74,11057198
Steppe Bros,222,319,8372350
LYMHURST ULTIMATE,14,99,1924206
UA _MOROK,102,103,10765439
Nordheim,53,145,5006221
Kebab Team,56,105,7800020
1-st,116,117,8412013
La Meute du Crepuscule,40,106,9113597
Sangreal,57,90,4901029
GLI STIRATI,88,132,9444051
R-I-P,160,89,29793037
E U P H O R I A,67,39,7005139
Fates Keepers,73,134,5161704
Eclipse Order,44,125,4478060
A R E T E,85,96,27356640
SteelOrden,77,135,3620755
Kal Vas Flam,43,114,3958115
I M P E R I V M,30,121,1640928
TrustBound,28,115,3338260
Crimson Blade,36,70,7135825
Les impots,94,79,12162776
Uniesienie,30,100,4393076
The Jackals,102,90,9465986
BLACK-BOAR,52,100,9924667
Honey Pie,48,101,4663970
Dark wolves,73,89,5614916
SKYWOLVES,53,103,11383232
BANE,28,112,4964607
EL COLMILLO 23,16,94,1322688
Requiem Aeternam,49,72,4681917
White Shark,48,99,14689190
E L I T E,51,55,8538260
Billionaires,66,101,6514984
For the North,63,88,6859008
Honorable Mention,53,30,5232697
LiMing,66,90,6426277
ELVEN Echo,73,57,16399189
LELEKA,96,97,4990688
Rhaegal,21,30,7939075
Geyikli Gece,89,106,9787607
Shadow Garden Army,38,107,2016721
pro noobs,95,33,5911263
Guerriers de Fer,95,49,8257263
Line Breakers,93,52,11446657
TheHonoredOnes,4,96,1527906
GORILLAZ GYM,49,81,10213230
Gank Banks,61,70,7420695
LUNATICAL,38,91,3503732
Charmander Crew,52,38,23425939
Daisho Rojo,18,86,2324240
Suicid3 Squad,40,68,4849958
LaPililasArmy,66,59,19871041
IRAN 3AZ,19,112,2222140
La Compagnie du Lys,25,83,2267607
Lunar Wolf,63,88,9908933
Les Monts Gaulle,264,99,15266683
Dost Meclisi,47,82,3435659
Dragoons,65,73,5837528
The Ganklist,72,83,8093763
GODSMACK,61,90,5751364
indrix,62,93,4918439
Sons Of Neptune,89,103,5080879
OxyGeNN,45,99,4099391
Gachi Gatherers,19,124,2330918
Pure Crimson,115,38,9045108
UFORG,102,59,18494099
Revenant Requiem,33,70,6658432
Gabella,132,66,10772614
Bloods Legion,186,34,8968037
Priority,58,94,7489410
Entity,56,56,17238661
Funeral,37,50,9821334
Bloodmarked Pact,32,64,3040838
Molterians,49,48,6596874
Pandemonium,28,74,3837565
ARCH0NS,82,27,42996874
Delicious in Dungeon,38,41,4410833
DELETED,1238,136,64006686
AltMetall,77,58,6231144
Cappuccino Assassino,18,120,2105588
B_E_A_R_S,15,80,1861451
albionbugda,63,20,5574433
yakoza,73,86,4484712
Legion Del Apocalipsis,64,86,4568911
VICTORY LAP,73,78,10292175
God Slayers,35,76,4527173
K_A_P_A_B_A_H,15,73,1756705
One Hell,23,106,1960749
Crystal Community,67,77,3960582
Rise of Infinites,25,66,2860489
Only Blood,32,69,12840559
Shatterpoint,123,89,7290017
Nebukadnezar,15,80,2390497
I TITANI,13,62,1387618
PVEGuildBTW,66,69,8409816
CTPAX,16,66,2484035
Abyssal Walkers,20,74,2815834
Prosektorium,82,66,20721278
UNLIMIT,72,32,12592403
Conquista y Siesta,75,25,5569099
WaPota,52,80,2703830
Pentacle,34,76,2253215
Lusos,147,22,4953422
T R I B E,105,96,10080838
chujemujedzikieweze,35,66,2468283
Dark Aesir,31,75,3401230
ShowUp,31,62,8838885
Earth Defenders,36,55,2952291
The Black Hydra,34,100,2814458
Silent War,26,96,2053058
Aggressively Average,68,47,3926127
Dignity Of War,9,54,2698295
Gallia Rebellis,73,51,5514690
Lymhurst Lumberjacks,10,76,2223265
Being as an ocean,50,79,3272603
xCode,5,65,3074268
Unbanned 2225,29,9,4812563
Phantom Palace,48,61,6583400
Reunion Island 974,13,71,3419083
Vanerna,93,61,5896720
NOT A Z3RG,69,53,4307073
Flame of Fate,15,66,1542245
BestattungsGmbH,87,55,4617241
long-men,24,69,10422889
NiIfGaard,13,102,794562
G2H,25,78,3127218
PEKA,40,64,5691016
K P E C T,139,95,6364679
MAD RABBITS,12,81,1964340
JonTurks,138,35,4539745
In Articulo Mortis,82,43,11934942
