Player,Guild,Kills,Deaths,Fame
Oviler,Llamitas Su Su sum,25,2,1979282
CqLoiro,P R I M O R I A,25,2,3164597
Korshizito,XNoMercy,25,2,4071283
alvmevalevg,Morwing,111,9,17838341
xXPlundererXx,Rogue Natives,37,3,10611992
PirulinhaDeus,TU MAMMA,37,3,6813181
MayWasowski,DARKM1GHT,61,5,15211723
HeyShoe,Contingent,207,17,24812572
xXPepePeligroXx,Curriculum Vitae,73,6,16163095
gostwarrior,Ministry Of Bandits,12,1,428064
Srpepi21,-,12,1,1827618
lstzx,ENDANGERED,12,1,1944620
elvis14k,Therian,12,1,918923
Anseruco,TU MAMMA,24,2,5084222
TOodk,THE ENJAMBRE,12,1,2186905
Leohart,Cyan,12,1,770404
K1NNGod,Ministry Of Bandits,12,1,307305
CitroenSabaozin,P R I M O R I A,12,1,1753528
Compton21,xX The Jokers Xx,36,3,18405382
Impenitencia,OriginPoint,12,1,1157821
XxHunterRoxX,PlVAS,12,1,1590894
Elizabeth0901,Inspeccion de Billeteras,12,1,1437226
elTH0RR,Os Sem Nome,12,1,448652
BaLVeS,S N O W F A L L,36,3,1649024
MaXiMuS909,Evil Kool Aid,12,1,3614871
Pandicerdo,Bryllanos,12,1,332277
JayyPVP,AO University,12,1,1074449
CharlesLombardi,-,35,3,1208837
lunakk,DARKM1GHT,23,2,12639298
reflectzZz,ENDANGERED,92,8,12578970
LordDuckHunt,FreezingHell,45,4,10685436
HXD01,H U R S T,101,9,4320195
JimothyTomson,Faction Wars,56,5,1792079
TIJSAI,DARKM1GHT,111,10,24706060
RedTrainer,Make Albion Great Again,111,10,14359400
Zoldyckgirl,IIFures,11,1,1618680
SonOfHermit,Curriculum Vitae,11,1,1887878
s3xcofounder,Pentachill,11,1,611753
zpekenoking85,-,11,1,114585
aalnxooKingg,Curriculum Vitae,11,1,2116011
Llegoellechero53,Error 404 Not Found,11,1,1671175
CubanPinga,Knights And Chivalry,11,1,415012
onlyjj,D I N O C O,22,2,9425214
ShokahBK,M A N D A T O R Y,11,1,1311879
Telli3,A N T A R E S,11,1,1166492
douglasdioissdas,I DIOSES I,11,1,1069433
Prifma,desavence,22,2,4167891
zNeganAO,-,11,1,1032018
MiNameNick,Chipi Black Chapa,11,1,767915
Ricardovz,T-E-S-A,11,1,263753
Naleus,I Loniez I,22,2,2886796
ilD4nteli,The Lonely Skibidi,11,1,579959
Archangeelx3,P R I M O R I A,22,2,1899332
sexi132,BLACK TAPE,11,1,182600
KleenXx,zGameZ,11,1,142240
digZeera,H E L L C O R E,11,1,419350
HmoobTsab,CHEEKZ,11,1,366834
Henrique1295,DPSZero,11,1,318320
OutBreak47,-,22,2,1734086
erickdopa,Velo Rojo,11,1,145986
NMKZG,Eikonic,22,2,1123113
HannahSilva,Mighty Frogs,65,6,5028695
ARAGON777,-,43,4,5014913
ismaelgrt,DARKM1GHT,43,4,7527365
Xivolivo,Gankers LetaLes,75,7,14019539
KAIROS28,86-Eighty six,85,8,2972635
koitter,SoloPl4ya,170,16,7819074
MARBAOGUO,Cheer,21,2,427994
naofumimusashi,ANTES DE LOS 20,21,2,1122025
Skaii,Treasure Tales,21,2,306624
banhammer0x,ENDANGERED,63,6,26436752
CokeisMom,CompletelyStrange,21,2,335056
albertitomorite,HEILPVP,21,2,461966
Shizaav,Evil Kool Aid,21,2,4700914
Israelelite,Llamitas Su Su sum,41,4,5168581
1ShiXD,IMPERIO MAKUS,41,4,2542305
GorrXV,Victory or Valhalla - NA,51,5,9272939
Kytad,UN NUEVO AMANECER,356,35,13732940
Drnairwolf,Rogue Natives,91,9,20464335
PrimeX20,Maximum Effort,121,12,7155273
ZetaAmijodraco,Black Ursa,10,1,1953088
Deyli,IIFures,10,1,1921270
iValkyrie,Eternal Defiance,10,1,2514213
Smok5,Madeeira,10,1,462693
saberfan,Evil Kool Aid,30,3,4723829
MadeInCaucaia,PRED4DOR,20,2,526098
MedicoDeLaPeste,U D S,10,1,288709
Vitshit,No vendo Trap,10,1,712859
nisejo,KINGDOM OF FARLANDS,10,1,241105
SIRJ0EL,IFures,10,1,2997726
Swankidan,The Jolly Rogerz,10,1,1743355
GalardGTV,We Are Yakuza,10,1,765968
BossRaid,Mythix,10,1,3003124
NjwAWA,FULL TIER 3,10,1,549369
ClintAK,De4d End,10,1,1453673
stardustkid2,StratsCo,10,1,270527
Negroculia,S Y N D 1 C A T 3,10,1,259963
xVJM23x,S K Y R 1 M,10,1,323939
ActuallyAkuma,Curriculum Vitae,10,1,1704966
QUIMUSABI,-,30,3,1356650
sadmastee,Evil Kool Aid,10,1,1839921
Nex0o0o,True Gentleman,10,1,472345
NotKashp,Commotion,10,1,2064372
JayyPVP,IFures,20,2,2167784
Jugaki,Wanted PKS,20,2,3993932
Pichonis,Curriculum Vitae,20,2,4866220
BillySanders,Evil Kool Aid,10,1,11697952
xDBanned,Caidos_Del_Alba,10,1,400320
ShaolynVT,-,10,1,463568
matacatalanes,BombSS,10,1,3401710
XxFenix40STMxX,Ministry Of Bandits,10,1,1005837
Jeffrey705,Be Careful,60,6,4638121
SonOfHermit,Upside,20,2,5395406
r2020E,Commotion,20,2,2831416
Estebandidoo,IFures,10,1,2043033
peruezclave,-,10,1,866201
xTheLanePolice,Sprint With Me,10,1,2787101
Cyyno,Furia Nocturnx,177,18,25289719
Lmbeaux,ENDANGERED,167,17,35297150
smolspart,Evil Kool Aid,98,10,18116535
Lucidrick,DARKM1GHT,88,9,21063222
ThQzin,DARKM1GHT,126,13,20546654
nero20k,HEILPVP,29,3,1070173
betcover,Maximum Effort,58,6,1571742
Speedxfirex,Upside,58,6,5549743
GreatGandalff,American Mini Pig Association,29,3,1562630
ELdeathgun,les fr valoir,29,3,2464453
Canatarell,Curriculum Vitae,29,3,3222414
Bra1s,Slammed,48,5,11493831
Leanlly,Erome,19,2,7652419
jhoRoX,IFures,19,2,4941462
Xads,Phoenix Rebels,19,2,1432835
SybinhoS12,Doble OC,57,6,2894429
Zigmund,Loyalty Matters,19,2,1055827
SoulEater03,1AZEROTH1,19,2,2509171
RenunciaBachelet,Fuera venekos,85,9,22944168
IonRunIt,GGNOOBS,56,6,2915822
M7obon,Mono Con Navaja,28,3,4572578
tirodetodo,Curriculum Vitae,28,3,3304519
Holthy,Mao de Elastico,84,9,12041061
Fayur,ENDANGERED,28,3,3568124
LilNegroni,Keybump,56,6,26228085
Melct,Doble OC,28,3,2685783
Eskover,The Destruction Company,37,4,3106404
xendeRx123,Mao de Elastico,55,6,9372897
DAGAIII,NO HOLDING,64,7,5119596
VladislavVlaicu,Life is game,91,10,5509404
YinlongSiggy,HELL KILLERS,27,3,5647659
alrgen,P R O S P E R I D A D,9,1,88441
Hunkceinx,IIFures,9,1,7946845
KazieI,IIFures,9,1,967189
dfltizii,Ministry Of Bandits,63,7,4163635
XxGriezmanxX,MKRss,9,1,701154
Jullihuer,Black Dragon Aeon,9,1,895927
xBrandxn,Evil Kool Aid,72,8,28602612
AlejitoNone,Sea-Sky Fraternity,9,1,1294349
WarriorBlack,We Profit,18,2,3676565
Dezxd,Outlimits,9,1,7973426
ThyRepz,E FOR EVERYONE,9,1,328943
ItsMaaK,TheSpartanSQUAD,9,1,439914
MiyuS,Sea-Sky Fraternity,9,1,1308825
UltraVuk,-,9,1,1423722
lypeza,Bl4ck End,9,1,106502
DisasterKnot,Tejones Tacticos,18,2,924624
L1petheKing,P R I M O R I A,9,1,658818
LaRealPaRkA,PlVAS,18,2,2852054
Multilane,Griffins Riders,27,3,4620377
konche,HELL KILLERS,9,1,3419789
ElementalDreams,IMPOSTO FUNERARIO,18,2,380809
DanielHzN,M A N D A T O R Y,9,1,904962
Drachenarm,Loyalty Matters,18,2,463596
xWICKx,The Rugrats,36,4,8238747
NeKso04,The Rugrats,9,1,832970
GetRekton,Commotion,9,1,1495769
XXCISK0,I Nothing I,18,2,4398781
Malacopa24,HAWKEYE _TF,9,1,245922
Enneor,Eikonic,9,1,173318
Manu1594,Blades of Avalon,9,1,306534
2ndHrtBeat,Kingdom Fury,9,1,451512
dCodeR,True Gentleman,9,1,1215633
Catadordeperras,Error 404 Not Found,18,2,2359239
PuchiPastell,OathBreakerz,9,1,1422382
Maktub95,OriginPoint,9,1,642700
CrazedZeroTM,The Lonely Men,45,5,5834556
YDiracY,Fire With Fire,18,2,564582
HoodNinja1,Faction Wars,18,2,774080
PATETINHA69,Arroz Clan,9,1,44681
BruunoTrS,PRED4DOR,9,1,616803
Diesyke,IFures,36,4,11615535
SrBurning,X EL ULTIMO REINO X,9,1,122003
Elimanation,Victory or Valhalla - NA,9,1,2661361
Kyokeri,Evil Kool Aid,27,3,9310414
iKazzaki,Black-Oath,9,1,506841
juatari,-,9,1,960389
odrareg,OathBreakerz,9,1,1437453
T4coc4T,Eternal Defiance,9,1,682842
ObeyCommunism,Eternal Defiance,9,1,1584137
IMPRUDENCE,FreezingHell,9,1,2850616
werty0102,Treasure Tales,9,1,276991
Sergey789,Contingent,9,1,1350094
Niroal,The_WolfGang,18,2,524142
Chukensio,B U R N I N,9,1,7124470
Jaden,Make Albion Great Again,9,1,13883656
Kleber06,-,9,1,259779
MkaleV,Mors Certa,9,1,201007
Hyprox,-,9,1,3358665
Belcusin,Angry Apes,18,2,1065209
Drauugr,P R I M O R I A,114,13,14087842
Zpihc,IFures,35,4,5756753
Xyllyth,Loyalty Matters,35,4,2425327
anyelxd0911,A N T A R E S,52,6,2552975
iSaul19,Road Of Ruins,26,3,3259694
DARIMONN,BombSS,104,12,21555053
Wayvrade,-,26,3,1103648
ReconTW,Evil Kool Aid,26,3,3993026
AKAporrass,Legacy Corporation,52,6,6244684
Deain,Evil Kool Aid,26,3,18641471
ShaolynVT,MODO FAKA,95,11,10698496
LilWehr,Mono Con Navaja,43,5,5524129
Wysuu,Evil Gatitos,43,5,6226404
Ajjota,Be Careful,43,5,4889284
Triftzinho,R E Q U 1 E M,77,9,8284191
171gabriel18,P0choLandia,17,2,1136089
THUNDERREDD,Veni Vici,17,2,2529619
Nikk0oo,TU MAMMA,34,4,14962490
XxleeonardxX,-,17,2,1823435
enperador71,A N T A R E S,17,2,749472
MaDalx,Mad-Brothers,17,2,1411071
Bardoth,ONLYON,17,2,927794
c7st,Evil AssassinsGreed,85,10,12774816
CIERV0,N0T HUMAN,34,4,4881567
GotABadCard,Rogue Natives,17,2,1611851
KapitalXD,Commotion,17,2,2412631
BiggestBoobas,The Lonely Men,161,19,27997195
COTORRITSS,TU MAMMA,127,15,27951380
InstantRegrett,Keybump,59,7,6906118
Trkoho,kako21,42,5,2397843
HybridDead,Unslave,25,3,5554892
JimJimmington,BeerSquad,25,3,2574455
KnifeDay,Evil Kool Aid,25,3,27016816
MiniBlackfire,Doble OC,183,22,12831936
Harumin11,Curriculum Vitae,166,20,24480604
WealthyPatron,Evil AssassinsGreed,83,10,12942277
DEMBER1973,Evil Kool Aid,33,4,9085894
ToTinho420,B U R N I N,279,34,37554962
GEORGELOOOOPSSSS,GGNOOBS,41,5,2971986
Danielamt18,Escarveil,49,6,2601598
Nozcav,Pressur3,49,6,6731328
TheBooneless,Just Drop4,122,15,5229073
Lifti,Veni Vici,186,23,16057966
metalcronus,ll Forjadores Del Destino ll,8,1,361091
4lShanks,Be Careful,8,1,712681
MrNevits,IIFures,8,1,409405
Wrathhh,Slammed,104,13,19227525
Turbosky,I Nothing I,8,1,1191803
XxWALLBOBYxX,-,16,2,1134004
EickerM14,B U R N I N,16,2,3768739
MrDaPangPang,BLUEDEER,8,1,193782
PivKO2021,NO HOLDING,8,1,3745201
OrnnnHub,Make Albion Great Again,8,1,2775193
Ry0kan,Your Iast Breath,8,1,133707
Weeelz,Mighty Claws,8,1,876475
AlanLoyola,OathBreakerz,8,1,1698275
LORD1MARCO,Split Second,32,4,8127058
DaniieRR,Rogue Natives,8,1,213977
Adacarolina,IN MOR TAL,8,1,287138
Reydelcum,ENDANGERED,8,1,2808344
xaida,Krozakov,8,1,333988
LaCoringas,W 4 R G,8,1,719363
tkxl,PlVAS,16,2,6557612
CrisproVZLA,IMPERIO MAKUS,8,1,329574
Sheriff00022,Evil AssassinsGreed,64,8,10583197
YoSoyCereal,Ephemerals,8,1,1064334
Psfunk,Doble OC,8,1,463371
RousM,LEGION GR 300,8,1,386164
xXYAKUSAXx,-,16,2,814373
BiTenS,P R I M O R I A,8,1,1729809
maxibi,HALCON BLACK,8,1,200345
Jujuvict,ENDANGERED,16,2,721161
Moonglorius,OathBreakerz,24,3,1887019
Casssio,-,8,1,2099714
Godly94,CompletelyStrange,16,2,287815
MARTbr,EZG0TO,8,1,1234368
furtal,The Aegis Project,8,1,594157
Hellzingue,Just Drop4,16,2,1818997
uncigarrillo,COMARCA HOBBITON,8,1,220889
FsBankForKinJDS,Albion Lone Wolf,8,1,1402969
mirelladehierro,Be Careful,8,1,1666348
DonKion,I SURGE I,40,5,8497341
Rsoc,KR SEED,8,1,1680567
DareWizard,Slammed,24,3,12030279
RustyCage,Fire With Fire,8,1,68316
Richard7u7r,True Gentleman,8,1,537422
WexDior,Commotion,16,2,2592535
daniel072007,De4d End,8,1,572653
yedmae5555555,Slammed,8,1,3396202
PanconPija,-,8,1,667594
BroxigarHS,Crux Del Sur,8,1,610523
Cyfrel,Arcosanti,48,6,10733134
W0LFERNAL,Sexy Piglets,16,2,716599
DanielRM21,El indio solari,8,1,165419
EmpanadaDePapa,Instic,8,1,36171
Ferreira777,Metodo PVE,8,1,164325
Kaiser0010,NAVAJA,8,1,142411
Skarzar,Inglorium,8,1,84387
Assessinscross,OathBreakerz,8,1,787632
Heduardos,Black Rose Creed,8,1,145892
KristoZ,Slammed,16,2,2953187
zzurgg,GATITOS TERRORISTAS,8,1,314526
Leanlly,MAS57,16,2,424593
GalletaG,I SURGE I,16,2,3164633
CRIS120,U Are My Profit,8,1,346507
Robertilk,Make Albion Great Again,16,2,2355100
XxsaulxX19,LIFE IN CAMLANN,8,1,239093
Ivansinho,Volkzsturm,8,1,841324
Uhdre3,P R I M O R I A,8,1,598613
inferno3009,OathBreakerz,8,1,1328032
DARKWORGEN22,True Gentleman,32,4,1925943
Angelits1406,IIFures,8,1,2070978
OliverbroL,GUARDIANES DEL ABISMO,8,1,273073
MP19,Sono Ku,8,1,1789569
ocriador876,Os Sem Nome,8,1,283510
KlRCH,Legion Brocoli,8,1,145300
B33MO,Curriculum Vitae,8,1,1515741
GiorgosAm,Make Albion Great Again,16,2,3404940
MatiPCK,Slammed,8,1,1366189
Handrakj,W R E C K E D,8,1,235710
Jajairo,Stay Close,32,4,6639990
Alex3636XD,Evil Knights Of Bridge,8,1,910337
veneco2000,Your Iast Breath,16,2,1196523
BECOMETHECHICKEN,Make Albion Great Again,16,2,2232740
azaelpro,-,8,1,193239
jurubao,Darkness INC,16,2,2916937
jinreinor69,T O R O S,8,1,214018
EldioEric,Los Perilleros,8,1,249425
Runninghavoc,Bears and Maces,8,1,107564
Att0rrney,Darkness INC,48,6,3293976
Makirag,Hitsquad,8,1,2232290
Cabelir4,F R A T E R N I T Y,8,1,415541
FlipViet,Keybump,48,6,12852996
Belsey,D I N O C O,374,47,45297034
LaRivanFK,R E Q U 1 E M,167,21,20083211
mro666,S L I C E D,214,27,55142986
W4sh3,Kronos Ascendens Judex,189,24,4697082
Panda514,OSIIRIS,63,8,3014166
shadow32a20,Evil AssassinsGreed,55,7,8137582
Icantputname,KR SEED,55,7,2562601
iDiewoxx,D E C L I N E,47,6,6333257
SnaxTM,Slammed,47,6,13657403
LuckyCizo,Evil Kool Aid,47,6,16929484
ErenProPlayer,DARKM1GHT,133,17,29395473
TipaTipo,Gankers LetaLes,78,10,12893083
Mireles257,Z 0 N E,39,5,2233710
INV1CTVS,Ministry Of Bandits,39,5,2279563
TheRealRaquis,Slammed,70,9,14982969
Jakcc,YOU_ARE_DEAD,85,11,3200497
itsjosuxx,R3conecting,54,7,10521949
SindraTheXZ,Hitsquad,77,10,14708913
SHENENN,Hitsquad,69,9,7064935
TITANICxSaW,P R I M O R I A,23,3,2623745
K1NNGod,Faction Army,46,6,1908960
GEOcentrismo,Darkness INC,23,3,5160708
TOodk,Caballeros Del Pasado,23,3,919097
darkreyez4,DOUX,46,6,1498013
Itaih,-,23,3,2517736
TKKOne1,Wyze,46,6,8824814
Nick3spinoza,TDA,23,3,3033080
PeriPeriCherry,N0T HUMAN,23,3,3909431
HalfGoldHeart,Hitsquad,474,62,76571037
tommy666,NoFreeThinkers,206,27,25133198
mokasin0,BombSS,38,5,4753458
ChampionOfSCz,Split Second,53,7,14830941
SCAREDZEUS,Rogue Natives,174,23,31469487
Dbrejcha,Mystic Tecolothy,15,2,1874555
latino2col,Faction Army,15,2,719560
Heartopia,Maximum Effort,15,2,1260519
SouEuBoladFogo,Jardim Do Sol,15,2,269451
Ancinaldo,Dreamfall,15,2,1816683
GODHisar,Spetsnaz Grail,75,10,5030108
Fakitoo,Core Roblox,15,2,2995396
BECOMETHECHICKEN,I SURGE I,15,2,3231729
1zattar,Gankers LetaLes,15,2,652222
M4ss4cr3r,PlVAS,15,2,2009525
NeroBT,Piratas420,15,2,2392601
tiddyg,Evil Kool Aid,90,12,18819127
NOMEM,IFures,15,2,2799489
DRORROS,P R I M O R I A,15,2,2215302
Dausten,DATE A LIVE,15,2,1253072
Smoked4Free,Wyze,15,2,4071387
BECOMETHECHICKEN,Commotion,15,2,2102364
Dagger007,Loyalty Matters,15,2,402250
Naxhosky,K PA MI XAN,15,2,157063
AKIHIRO1COL,DARKM1GHT,90,12,24387934
WelshDD,Split Second,45,6,10916943
metadant,Phoenix Rebels,30,4,2987641
AtalaBurahk,D I N O C O,142,19,31263019
Lucaspija,Upside,82,11,10697443
Mazagui,NEW G3N,67,9,10823620
TtvArcoviVT,R E Q U 1 E M,74,10,9258798
L334M0N,Eikonic,118,16,22660940
IGSIGuiGoes,desavence,44,6,19238570
Iyya,Maximum Effort,22,3,3181722
Nicholas2,Albion Nexus,22,3,1151094
TheSweetDragon,Furia Nocturnx,22,3,2798385
HMB2tight,UGotRatted,22,3,3197803
Renkfrost,P R I M O R I A,22,3,2502973
Machis19,R E Q U 1 E M,22,3,2533053
SrRayli,Black Ursa,66,9,3193557
Aeiuu,ENDANGERED,73,10,22661933
MilfaSiska,Evil AssassinsGreed,109,15,13864083
NoFlamePain,-,29,4,2430691
Desumildezera,Sono Ku,29,4,7658902
RU50O,Your Iast Breath,29,4,1925736
Spiritfoxxx,AO University,87,12,15101889
GoreScale,Mythix,87,12,6450135
LovePotions,IFures,94,13,24733259
TheLatestAsian,ENDANGERED,72,10,3650893
BAGUALDOGK,Mao de Elastico,36,5,9765504
RD79,Griffins Riders,36,5,7261883
Kxyzer,COMARCA HOBBITON,36,5,1827342
ReiDoRingue,Red is dead S2,122,17,9052046
Lellyrian,P R I M O R I A,43,6,8230105
IwannaRock1810,King Surf,43,6,7997637
LuxXxzZ,Overprice,86,12,10413008
Sumajestadl,CEIFADORES-DA-ALVORADA,43,6,931057
Confeito2,IIFures,43,6,6483894
AlphaWizardX,Evil Kool Aid,93,13,14604676
Miguelolo,xX The Jokers Xx,57,8,21060587
PitufodeuS,Evil Kool Aid,242,34,33720654
MiniTang,Arroz Clan,71,10,1628263
IncuboMeow,Faction Army,78,11,4409115
Junior0x,Evil Kool Aid,99,14,14584313
kXrolOnTop,Evil Kool Aid,162,23,31629955
OsitoPeruUwU,BLACK NIGH,7,1,526569
Kreedee,Victory or Valhalla - NA,21,3,1886377
columbus24,DEATHR0W,14,2,4017556
PALOGRUESO,Evil Knights Of Bridge,7,1,522526
DogViolador,R3MAST3RED,7,1,225488
Qzcxz,R3conecting,21,3,3474337
ikinhi,99F00D,7,1,1338257
Sirlo8,Volkzsturm,7,1,169334
pachatuytec,F U L L-C O U N T E R,28,4,3403631
angeeliuz,PARACETAM0L,7,1,888178
RUBIDIO507,YOU_ARE_DEAD,14,2,348807
ChrisLuck,IMPERIO MAKUS,7,1,240477
azzeyuijuhygf,Unslave,7,1,1521816
5wade,Sea-Sky Fraternity,21,3,1693659
LARCADEDRAGE,Upside,14,2,4238127
ImKlixor,-,7,1,955236
TikTokConejoDemo,VK Army,7,1,283791
Tekeshe,Sturmbringers,14,2,364991
LuigyxD,I Diamond Dogs I,7,1,1521739
Erickponce1604,I Nothing I,7,1,487097
hansitot,DARKM1GHT,14,2,2986752
PeriPeriCherry,NoFreeThinkers,7,1,964219
LaMissDanger,Les hommes de Sparte,42,6,2001613
shukufli,BELEGHOST,7,1,283560
BragaDrags,CAZA GANKER,7,1,444513
saberfan,Benevolent Kool Aid,70,10,18756466
rime1996,GUARDIANES DEL ABISMO,7,1,501835
Dilferia,-,7,1,715014
MeanPugs,CompletelyStrange,7,1,754532
11185,shellWhale,7,1,144379
Alfase,Lethal Warri0rs,7,1,520321
ThzinNo,Sono Ku,7,1,3016348
MQMQLaVaca,Morwing,14,2,2301683
Whail,-,7,1,451809
Heviars,IFures,14,2,8749291
BossRaid,Wrecking-Crew,49,7,9117412
Paglius,II W A R R I O R S II,7,1,52308
Asteriafortuna,F U L L-C O U N T E R,14,2,774593
Hydramyst,CAZA GANKER,7,1,707716
BabiCaxes,Victory or Valhalla - NA,7,1,1534747
juanignaciodelav,Curriculum Vitae,49,7,16528529
ChaoticPlayer,Evil Gatitos,7,1,7514038
Iugzy,-,28,4,1135892
XxUnKnOwNxX1,PlVAS,7,1,2183389
