Player,Guild,Kills,Deaths,Fame
zeusveil,Velaris Eternal,0,4,7573
zeustlol,desavence,0,0,102648
zeustlol,We Profit,1,3,2865822
zeussabritas,I Colmillo Sangriento I,0,1,0
zeusorigin22,L E G E N D A R I O S,4,6,1001398
zeusdocapeta,Jardim Do Sol,0,3,41626
zeusdocapeta,K4M1K4Z1,5,0,256203
zeuscareka,CALOTE CLT,3,19,511234
zeus7770,B U R N I N,0,5,1419813
zeus160,F U R O R E,1,0,203729
zeus160,DECADENSE,0,2,0
zeus1472,Pay_For_It,0,3,67273
zetwoling,Bomb Down,2,2,160802
zetwin,-,2,1,785288
zetto55,R E Q U 1 E M,153,63,42493015
zetsu17,Ecos da Ruina,0,0,56887
zetsu17,-,0,0,6665
zetriosbb,osoblanco,0,1,4872
zetlandia,LOST-BRASIL,0,1,0
zetic10,Legacy Corporation,13,15,3227549
zetic10,Overprice,13,16,5391069
zetic10,M A N D A T O R Y,0,4,96662
zethram,Commotion,1,8,10381002
zethc,RUSH-B,2,10,184417
zethc,Outllmits,7,11,3333561
zethc,Outlimits,26,16,4210712
zetart,xNova ImperiuMx,0,3,29112
zetaprin,Outlimits,14,28,11311825
zetakiller,Drakonty ligea,4,5,448051
zetahuana,Upside,2,3,2575991
zerugodd,-,0,1,0
zeroztixx,YOU_ARE_DEAD,0,2,0
zeroztixx,Black Dragon Aeon,2,10,374086
zerotwomamel,Alt Fn4,0,2,0
zerotier0,Kong-Army,7,7,1408717
zerother3y,Road Of Ruins,13,6,1979414
zerosam4,Los Perilleros,0,1,0
zeros56,Rings of War,0,1,0
zeroknl,XPENTAGONOX,0,1,0
zeroesz,KULDAUN,1,0,176665
zerocoeio2,BRZK,0,3,65982
zeroONE003,V4TOS LOCOS,3,1,725058
zero98n,LEGADO INMORTAL,1,4,21371
zero1020,3 THE_LIONS,0,2,430895
zerko,Last Bober Dance,0,3,448774
zerito122342,The Rugrats,0,4,98682
zerito122342,ROYALCROWN,0,1,0
zerceol,Ministry Of Bandits,31,27,3594725
zeraje,LEGION--LATINA,0,1,0
zer0seven7,YOU ARE LOOT,16,45,3036381
zepyd,INTEPLOS,0,1,21627
zepequeno33,Reinantes,0,2,0
zeon88,Nexus,14,8,1037017
zenzosz,T R A S H T A L K,0,1,0
zenzosz,P R I M O R I A,0,1,0
zenty45,-,1,0,11195
zentryk,-,1,0,19285
zentroxx,LOS ROMPEDISCOTEK,0,1,0
zenox233,IRMANDADE DOS RENEGADOS,1,0,136471
zenki869,-,0,1,0
zenitsuu3,Fanaticos Por PvE,0,0,12532
zenite547,zGameZ,0,0,108250
zenite009,PRIME MODE,5,12,1409962
zengyingchun,Explore The World,0,2,3498
zenem,Skyrise,15,7,850914
zemidio13,UNOS,1,12,496179
zemdatripaseca,Knights Falls,1,2,36618
zelto366,-,0,1,93838
zelmion,-,0,0,51306
zelinwn,I N D O M I N U S,0,0,4400
zelden,ShonioKami,0,4,31566
zelda1717,KR Sangre x Sangre,0,3,39465
zelaniss,THE ARCHIMAGOS,0,6,484473
zekramBeal,-,0,1,0
zeker23,Error 404 Not Found,0,1,279540
zekej21,Outlimits,61,25,14714049
zefsides,N_O_R_D_S,1,1,64111
zefar1,L1FE OVER,1,0,394886
zeeerrowtwo,MejorenMalosDMrda,0,1,0
zeeJacks,IRMANDADE DOS RENEGADOS,0,0,28460
zedmaster69,ShonioKami,11,9,1467753
zebflox,Outlimits,9,3,2342385
zebflox,IFures,1,3,680437
zearpiak,K A I R O S,0,3,13455
zearpiak,-,0,1,30551
zeabaz,Morgana Outlanders,0,1,0
zdavid211,LOS_Yakuzas,0,1,4296
zdarcy,Outlimits,9,6,2765584
zdanloc,Always Noob,23,1,1388051
zbeubzbeub54,Alpha Rats,2,2,46171
zazoner,Outllmits,1,7,1138944
zazoner,Outlimits,0,6,468742
zazoner,I Nothing I,1,0,117234
zazaweed,los cuervos negros,0,0,2608
zazaCowboy,Shall We,40,25,4934882
zaza003,Ghost de Sparta,0,1,0
zaza003,Taiko,0,1,0
zaydy79,Project Vanguard,0,2,1499
zatochipedro,-,0,2,0
zatochipedro,Black Dragon Aeon,1,3,76841
zastruv666,-,0,1,0
zarubas,H3rois da Tret4,0,1,0
