Player,Guild,Kills,Deaths,Fame
Hawke13,PlVAS,496,136,116892480
NoSoyElisea,The Rugrats,492,181,61622640
saberfan,Evil Kool Aid,491,67,99819610
Angelits1406,-,491,43,85302099
VenomZika,PlVAS,488,215,93559801
Qzcxz,Wrecking-Crew,488,61,73045500
Lance666,Nirvana Calling,486,201,93136835
cheddair,N0T HUMAN,484,96,107952741
Jakcc,YOU_ARE_DEAD,484,114,29376055
AtalaBurahk,D I N O C O,481,113,106207508
HERCULONS,Fuera venekos,478,84,121926809
XzagreosX,DARKM1GHT,475,132,164428222
XExozX,Just Drop4,475,81,25469828
GingVI,Evil AssassinsGreed,471,36,29548495
xXPepePeligroXx,Mono Con Navaja,467,91,112747744
Thelaxs,True Gentleman,467,80,87382113
OnlyZerotwo,YOU_ARE_DEAD,465,302,69653188
ryutsuki,I Paradise I,462,121,99284340
koitter,MIRROR P4RK,462,48,27587372
xxkkatarinaxx,DARKM1GHT,460,119,150245069
BasicallyGoddess,C I R C U S,459,98,110772460
JadenWeiler,-,459,131,24202535
CarlinDelacour,Curriculum Vitae,458,94,131960221
Syelk,D I N O C O,457,178,171440371
Zoldyckgirl,PlVAS,457,114,100185817
s1GremoRy,Y A K A U Z A,457,112,37490593
SANDDMANN04,Keybump,455,174,84514325
Armyyyy,R3ckless,453,136,79629551
lParisl,R3conecting,453,130,67450329
xeosnar,desavence,450,180,140646730
agn7,Fuera venekos,450,98,131529763
Holthy,Metod0 PVE,450,61,65532515
SsHome,Upside,449,108,69142749
cummywummy,N0T HUMAN,448,176,125385621
Exmi1,R E Q U 1 E M,448,122,45505929
Qianyan71,Sliver maker,446,78,24532191
NineGod,GGNOOBS,446,100,24150504
MrGaohy,Nirvana Calling,445,159,92551083
ReiDoRingue,Red is dead S2,444,70,33173876
ColombianBanned,IFures,443,91,72993730
xNymue,-,440,147,68013067
ScrxmLxrd,IT s ShoW TimE,437,96,103429553
Junior0x,Evil Kool Aid,437,89,69311187
Skeww,Commotion,436,112,77782125
kidaraz,S L I C E D,433,120,113266302
Zanaw,True Gentleman,433,263,40436494
Valkiin,ENDANGERED,430,107,106107261
Freedomwp,Curriculum Vitae,428,66,100391320
yanadda,PlVAS,428,137,81181093
BiggestBoobas,The Lonely Men,427,82,83172904
bemolina,Upside,426,102,79218210
ShowerCat,Nirvana Calling,426,114,54975345
dqxcbs,xNova ImperiuMx,426,99,16758586
N3n3c0123,PlVAS,425,152,128902952
Kev03,Commotion,424,114,91840142
SweatingGravy,Contingent,424,141,80207584
NiltonAutopecas,NoFreeThinkers,423,85,99561967
GoodKchero,INTERDITS,423,114,80976338
Yorshhh,Overprice,423,57,58695996
Glxay,Fire With Fire,422,167,119911739
LUCKSvC,Rogue Natives,422,40,67798775
SenPaiis,Evil Kool Aid,422,55,67390488
MenorBEAST,PlVAS,421,198,128285434
GiorgosAm,Evil AssassinsGreed,421,111,104124180
alvmevalevg,Fuera venekos,419,83,97669585
BrownMagik,The Real Aggression,419,163,76510961
nairodsf,desavence,419,131,72223636
zairsama2,Legacy Corporation,419,97,31469503
K1NNGod,Faction Army,419,67,19412973
7LESTAD7,Upside,418,140,89325855
Zoraip,Cuys In The Clap,417,88,56911210
Prifma,Mono Con Navaja,415,120,125766057
Harumin11,Curriculum Vitae,413,69,65294503
