Battle ID,Kills,Fame
440964240,19,1812262
440970142,12,880857
440976227,13,2134199
440978378,19,2256569
440978766,8,1537305
440978974,16,27995864
440979259,16,532596
440980405,340,228894907
440981120,119,49526877
440981304,18,691951
440981603,16,707968
440982097,10,749783
440985019,20,853383
440985137,33,4588911
440985142,7,883434
440985386,12,318562
440986039,42,2650918
440986756,26,7764123
440987400,4,480273
440988055,31,12421507
440988728,50,2168847
440988974,54,24229809
440988991,7,787073
440989078,30,1201570
440989480,32,8181244
440989866,12,889738
440991315,32,1332470
440991328,7,2683036
440991447,22,4287676
440991615,9,3101450
440991947,36,12384665
440992124,10,7259833
440993021,29,9272782
440993179,11,1738129
440993472,16,871626
440993507,105,53451515
440993660,4,2119484
440993848,8,557058
440993864,4,129945
440994344,13,2302253
440995211,17,3621613
440995355,6,314941
440995544,50,27375001
440996007,4,1396940
440996039,13,2117101
440996653,23,6149356
440996870,6,1120595
440997605,11,1642840
440998313,10,1673871
440998381,22,4832884
440998966,19,6803883
441000095,16,4864807
441000202,18,4145283
441002262,33,1873082
441002794,99,47598433
441002834,16,2538570
441003032,20,6378878
441003499,26,890078
441004969,15,6241946
441005894,16,4207997
441006134,5,873765
441006990,19,3652227
441007163,34,3151035
441007273,25,9370168
441007664,16,2664074
441007816,18,516032
441009460,54,24214465
441009640,31,1589085
441010187,14,3697490
441010644,20,3815595
441010999,15,2619387
441011081,15,1358121
441012256,18,1565572
441012448,34,13741740
441012873,20,1314730
441013231,10,1594320
441013338,11,517013
441013402,11,2016643
441013906,7,2149370
441014595,7,1393009
441015369,13,3693158
441016022,20,1012485
441016279,32,8650049
441016330,4,145117
441016491,16,2633869
441016654,19,4562099
441016795,22,8093285
441017199,19,4103517
441017302,9,1463769
441017593,13,14612100
441018029,19,994887
441018244,12,1650360
441018868,34,8969744
441019188,6,2832
441019593,15,743180
441019971,8,749600
441020417,11,1862608
441020825,24,2199492
441021532,50,13198457
441023647,28,6395948
441023871,5,222124
441024143,12,981257
441024175,11,984536
441024232,6,2900934
441025156,22,497505
441025368,130,66364345
441025468,23,7332190
441026439,20,12586253
441026886,50,23472718
441027047,14,1251280
441027875,47,36802591
441028261,33,17309697
441029093,105,67609338
441029176,6,624150
441029189,41,13414692
441030111,10,1274242
441030422,11,2471414
441030556,17,1601170
441030639,10,598030
441031082,18,1703628
441031125,109,54161800
441031249,244,160581770
441031365,3,962240
441032088,21,13937563
441032446,15,5720942
441033192,12,1494375
441033472,15,4900781
441033852,14,2822849
441033928,8,1276202
441034609,13,5383568
441034640,26,9446272
441034921,41,15290093
441034983,30,9889848
441035029,5,803478
441035381,101,52222597
441035821,59,31802534
441035950,6,3017681
441036393,16,1533167
441037075,7,1431166
441037143,30,9435454
441037370,35,11813540
441037536,78,59521259
441037580,17,5126380
441037644,11,1009716
441037917,35,29218927
441038501,9,1116338
441038594,18,1696808
441038815,19,4719976
441038869,20,4408177
441039260,11,4144316
441039353,17,974790
441039634,6,2146885
441040070,9,1533545
441040603,80,32929581
441040709,8,1995515
441041008,4,141816
441041162,12,1301068
441041963,11,1581347
441042100,85,59679930
441042128,61,40671215
441042817,11,2561389
441043697,11,3160480
441044793,34,19108907
441044916,12,4141907
441045246,13,3076546
441045381,10,1521855
441045732,12,5029398
441046162,17,5401822
441046476,13,747892
441046525,13,614622
441046729,5,819412
441047062,12,409830
441047607,34,17147998
441047634,4,662823
441047828,173,89194933
441048064,14,2977874
441048778,37,15261798
441049604,35,2121970
441050673,18,1583993
441051305,20,4839295
441051441,3,223340
441051950,4,186527
441052553,12,4184157
