Battle ID,Kills,Fame
318962206,10,2243204
318963706,20,12132564
318963737,6,3209588
318963864,34,18900640
318964247,33,9539393
318965275,16,9668965
318965417,6,1233742
318966008,12,2384286
318966065,15,355192
318966242,9,3367782
318966347,22,4409986
318967361,21,1887568
318967508,16,9092866
318968224,11,4313176
318968271,3,1504812
318970095,119,16075947
318970229,17,9754350
318970371,15,5893048
318972670,29,10319703
318972736,6,2201299
318975442,13,9032748
318976633,10,4761281
318977402,18,886750
318978687,14,1375856
318984871,66,7247998
318985382,13,1841345
318985792,45,1063586
318988423,19,5909208
318992191,19,1176333
318994756,5,66270
318995878,5,317289
318998012,9,1714228
319002321,25,7701336
319004334,39,1980023
319005524,15,2100862
319014707,6,1365746
319016152,29,11659430
319016774,68,23301090
319017573,29,4531170
319020975,28,9195654
319021913,13,1549549
319022856,18,2519840
319028139,128,2157946
319029095,12,2985969
319036788,13,12889866
319041059,83,35447042
319042275,8,1024965
319054936,17,739747
319061120,21,2116496
319061163,9,903476
319078558,13,4499195
319109393,21,1780821
319112000,10,2150940
319123231,19,5030404
319145050,11,3353210
319147026,26,6929267
319150509,6,503700
319160729,3,137242
319166239,40,21985096
319166659,27,12195989
319167498,18,642078
319169055,10,7273432
319169282,3,103604
319170521,83,29186736
319171566,27,1722008
319171643,33,12134416
319177755,26,6838294
319178153,12,727624
319179648,13,2903215
319179837,23,1544635
319180568,24,8514802
319180694,17,4834724
319182599,57,3123397
319183224,4,1293252
319184060,63,24070805
319184129,4,1065319
319186707,7,1260743
319190294,24,2729016
319192605,29,1629910
319197108,9,408293
319198864,9,1044178
319209380,9,342645
319209387,13,7547264
319212244,31,11998139
319212748,6,1697374
319214348,12,1930297
319217363,32,10571641
319217818,21,4661765
319219661,11,441769
319220907,35,12791049
319221934,22,5223753
319223657,8,2548189
319225371,21,3989498
319226764,26,8841837
319227588,30,9056400
319228617,19,9534533
319231166,19,2934306
319231197,122,58530438
319233323,11,4236090
319234386,14,2620999
319237104,36,1806769
319237649,35,3133214
319244503,15,1265876
319257412,61,29033437
319260330,7,2719501
319262221,37,12934368
319262377,14,2564443
319263322,19,8188527
319264295,10,487505
319265237,50,2652652
319265867,24,9134136
319267100,5,2252617
319267694,8,2374462
319267995,10,971902
319268055,12,726920
319268812,49,17583757
319270049,3,655690
319270251,9,2969426
319270428,17,4678451
319271584,8,363565
319272534,20,3643827
319272740,11,3701599
319274513,7,2282097
319275149,90,39376854
319276421,18,3031498
319277365,17,6975669
319278342,22,1053054
319278961,10,2757223
319280003,6,1705425
319281025,31,777013
319282148,5,909082
319283649,9,7323979
319284063,15,4398505
319284254,23,8477364
319284664,17,3598445
319287270,17,6869229
319288019,16,2731833
319289042,146,6559282
319289713,18,3552896
319291909,12,1797415
319299650,6,167919
319300102,34,2460089
319303473,8,711678
319304760,22,2756171
319305366,26,8655958
319305555,14,4599441
319306140,42,1366100
319308509,17,8552709
319308794,18,938387
319314512,17,2464640
319316042,17,1688933
319316088,210,89508405
319316749,259,116839963
319317545,4,1704534
319320313,25,9521571
319321889,10,890680
319323231,16,1503260
319325332,12,1496583
319325396,31,13691707
319326133,6,11082615
319326744,29,1360900
319326941,19,6403742
319327823,15,1836892
319327904,19,7442389
319328710,17,3613871
319328789,14,1730948
319329524,15,4126025
319330220,8,986532
319330399,21,4706286
319330670,11,2349389
319331595,13,877621
319331707,13,5744609
319331865,41,13663847
319332672,8,2932915
319333362,47,24683729
319333988,48,12325307
319334319,13,393956
319334762,27,15497864
319335093,143,8871499
319335228,12,3661671
319335352,47,14274096
319335561,51,20613163
319336188,6,329170
319336455,3,133512
319336904,39,14999108
319336920,28,12391297
319337280,15,3080326
319337593,10,2668992
319337925,6,966305
319338468,17,5307314
319339650,18,755544
319340836,41,16822574
319341297,6,1601560
319341634,15,1928393
319341653,19,2454234
319341810,15,3874682
319341839,43,2751556
319342427,8,2423784
319342504,11,4745677
319342522,8,2161772
319342794,25,2408481
319343019,5,2147428
319343220,24,9241600
319343284,38,14355077
319343330,14,5113547
319343471,4,781163
319344297,19,6427606
319344747,18,8036863
319344967,13,3703449
319345501,14,4300986
319345625,17,1934540
319346527,62,22246701
319346590,9,1560644
319346742,10,847921
319346866,21,7614384
319347152,11,1343619
319347329,8,4723831
319347432,42,14208843
319348100,19,7976290
319348447,29,1563943
319349078,5,2565425
319349120,18,9892980
319349910,30,15096507
319350646,15,2063075
319350697,7,2276372
319350766,15,2967314
319351037,11,605488
319351408,30,11920127
319351752,23,2681330
319352034,19,4697347
319352593,9,2001939
319353162,24,1273240
319353397,7,186685
319353542,20,1426049
319354207,7,910962
319356545,12,6826565
319356962,8,2753000
319357621,3,646848
319357741,42,21354853
319357828,157,22848228
319358128,39,2946270
319358231,3,557239
319359363,16,4721776
319359379,12,4950835
319359408,23,8247177
319359904,11,774771
319360382,5,1779101
319360415,14,980787
319362592,18,978798
319362703,18,4543096
319364665,8,624973
319364789,3,963710
319365587,8,829316
319366387,13,1237234
319366531,202,94807405
319366606,91,37579681
319371467,18,4729633
319371481,33,4672457
319372901,33,2387643
319374450,8,1263265
319374929,6,1339464
319375029,12,2040141
319375120,20,1125173
319375327,13,1114162
319379263,7,1958742
319381725,49,3203812
319381806,13,1540091
319382189,12,538695
319384050,4,1392548
319384878,20,1636413
319385080,18,5374457
319385199,143,68149823
319386726,31,979702
319386914,58,25407282
319387542,22,1281714
319388326,7,6202841
319389148,236,100968854
319389433,10,2102152
319390714,90,37731738
319391408,60,20364558
319392479,7,1398980
319392890,15,4634601
319393682,14,1140676
319393686,7,1646293
319393699,25,1623732
319396953,22,787818
319397032,22,7699327
319397680,29,12182052
319397918,105,38331786
319398200,146,61022866
