Player,Guild,Wins,Losses,Total,Winrate_%
s7hos,Contingent,61,43,104,58.65
Smacias,S I X,61,46,107,57.01
Yunuz,Saggin,61,50,111,54.95
HeavyGOATED,Skoggangr,61,55,116,52.59
Jo1231,Skoggangr,61,66,127,48.03
Tohmeo,ANY FIGHT,61,81,142,42.96
muzyn,Polska Gildia,61,89,150,40.67
ROman23z23,Papaoutai,60,29,89,67.42
Dysyouw,S I X,60,40,100,60.0
EsaLOL,Contingent,60,41,101,59.41
Merror404,Critical,60,43,103,58.25
Worst,S I X,60,43,103,58.25
xaannder,Skoggangr,60,47,107,56.07
Massaux,Pipootam,60,52,112,53.57
Marjas,Contingent,60,54,114,52.63
TonyGPS,ANY FIGHT,60,59,119,50.42
BananaFlour,Skoggangr,60,60,120,50.0
jiushi,Heralds of Valhalla,59,20,79,74.68
Dipperq,Heralds of Valhalla,59,24,83,71.08
AmenoD,0N A FAIM,59,37,96,61.46
leav,Heralds of Valhalla,59,44,103,57.28
BigDest,Ridniy Kray,59,51,110,53.64
NightLovelll,KillJoys,59,52,111,53.15
DZICZKI,Woof Woof,59,54,113,52.21
kadomado,Saggin,59,57,116,50.86
NeonRosa,Skoggangr,59,66,125,47.2
IcyHoodthugger,Pipootam,59,70,129,45.74
lukylevrai,ANY FIGHT,59,83,142,41.55
Maff4444,Woof Woof,59,84,143,41.26
TxS00,Y O I N K,58,23,81,71.6
Dxkills,Y O I N K,58,27,85,68.24
BootyESCOBAR,Y O I N K,58,29,87,66.67
Gorco,Y O I N K,58,31,89,65.17
Akwabon,Critical,58,33,91,63.74
Bucephal,Heralds of Valhalla,58,38,96,60.42
Balain,Critical,58,46,104,55.77
Buuck,Skoggangr,58,47,105,55.24
KeepMeOut,Contingent,58,49,107,54.21
Kolanii,Ridniy Kray,58,52,110,52.73
zennazlatan,ANY FIGHT,58,70,128,45.31
xXCBAPIIIUKXx,Heralds of Valhalla,57,20,77,74.03
Krypat,Burzyny,57,23,80,71.25
MeiiMeii,Contingent,57,28,85,67.06
Tjenick,Y O I N K,57,32,89,64.04
Mikrocipek,Skoggangr,57,36,93,61.29
FEFE61,S I X,57,41,98,58.16
Rotone,0N A FAIM,57,46,103,55.34
Maekau,Critical,57,47,104,54.81
T1000,Ridniy Kray,57,47,104,54.81
JudasDeNazareth,0N A FAIM,57,51,108,52.78
AiB0T,Woof Woof,57,61,118,48.31
BaNuMu,Woof Woof,57,61,118,48.31
rapiide,ANY FIGHT,57,67,124,45.97
TrashTalk22,Squirtle Squad,57,70,127,44.88
Diesel,0N A FAIM,57,78,135,42.22
Dqas,Woof Woof,57,222,279,20.43
luke,Y O I N K,56,29,85,65.88
Sloukas,Cow field,56,32,88,63.64
Tragical,Contingent,56,37,93,60.22
Akaory,Contingent,56,38,94,59.57
Protagonist,Contingent,56,39,95,58.95
Banjonne,Unbound,56,45,101,55.45
Emilos224,Skoggangr,56,45,101,55.45
Lastlegion,Contingent,56,47,103,54.37
Ruflaas,Cow field,56,47,103,54.37
SADSADSADSAD1231,Right Side,56,52,108,51.85
HayriX,Skoggangr,56,63,119,47.06
berdaniusDENEME,Woof Woof,56,66,122,45.9
Sanqrize,Heralds of Valhalla,55,16,71,77.46
BlGPHARMA,Contingent,55,30,85,64.71
Kaparo4,Contingent,55,34,89,61.8
Paleciook,Contingent,55,39,94,58.51
Reasley,Contingent,55,39,94,58.51
DontWantWakeUp,Savants,55,40,95,57.89
Evelyynn,Critical,55,42,97,56.7
ZyfraRaider,Expedition 60,55,42,97,56.7
Wallford,E H O T,55,46,101,54.46
Maximo001,Heralds of Valhalla,55,47,102,53.92
Sigmert,Skoggangr,55,49,104,52.88
LittleSoul,Savants,55,50,105,52.38
Alaymeiz,Saggin,55,51,106,51.89
peke1991,A K U M A,55,51,106,51.89
simplecube,Right Side,55,51,106,51.89
Hemmrage,Woof Woof,55,54,109,50.46
Gerkhan,Pipootam,55,59,114,48.25
5o5al,Woof Woof,55,74,129,42.64
Dalbaebik,Heralds of Valhalla,54,26,80,67.5
Paulypocket,0N A FAIM,54,28,82,65.85
Solo1111,Papaoutai,54,30,84,64.29
FrioPico,Contingent,54,36,90,60.0
Quater,Y O I N K,54,41,95,56.84
PKF,A K U M A,54,42,96,56.25
Brunwild,Utopia,54,43,97,55.67
PapochkaGifi,Savants,54,44,98,55.1
cake100p,Skoggangr,54,52,106,50.94
Fenerbache,Woof Woof,54,61,115,46.96
KasperCore,Pyramid Scheme,54,72,126,42.86
Akaaa,ANY FIGHT,54,75,129,41.86
Support,Squirtle Squad,54,83,137,39.42
NICKPAN,Clean Kill,54,107,161,33.54
Bloody160,Contingent,53,18,71,74.65
KMX,Contingent,53,23,76,69.74
Arrogance,Heralds of Valhalla,53,27,80,66.25
CakmaMad4ra,S I X,53,29,82,64.63
Pumba0,0N A FAIM,53,32,85,62.35
Yatiru,Utopia,53,35,88,60.23
Spouzy,Critical,53,39,92,57.61
Methxican,Cow field,53,48,101,52.48
Zuckles,Woof Woof,53,49,102,51.96
Gloubert,Ridniy Kray,53,51,104,50.96
Tesster,KillJoys,53,53,106,50.0
Baaaaabz,ANY FIGHT,53,58,111,47.75
Iguro,Skoggangr,53,61,114,46.49
Pandesteron,Woof Woof,53,72,125,42.4
BigButtBootyBoi,Polska Gildia,53,103,156,33.97
musgomm,S I X,52,21,73,71.23
